# t_cz_set	su_S_North
# "t_cz"	"su_S_North"
# 51
0	0.47
39	0.57
78	0.803333333333333
117	0.836666666666667
156	0.88
195	0.813333333333333
234	0.673333333333333
273	0.393333333333333
312	0.326666666666667
351	0.223333333333333
390	0.2
429	0.33
468	0.436666666666667
507	0.673333333333333
546	0.773333333333333
585	0.78
624	0.666666666666667
663	0.556666666666667
702	0.36
741	0.336666666666667
780	0.35
819	0.443333333333333
858	0.446666666666667
897	0.65
936	0.736666666666667
975	0.716666666666667
1014	0.673333333333333
1053	0.676666666666667
1092	0.703333333333333
1131	0.706666666666667
1170	0.51
1209	0.423333333333333
1248	0.463333333333333
1287	0.42
1326	0.64
1365	0.623333333333333
1404	0.586666666666667
1443	0.553333333333333
1482	0.49
1521	0.436666666666667
1560	0.48
1599	0.49
1638	0.506666666666667
1677	0.536666666666667
1716	0.593333333333333
1755	0.586666666666667
1794	0.616666666666667
1833	0.606666666666667
1872	0.546666666666667
1911	0.46
1950	0.513333333333333
