# sig_gen2_power_set	waittime_set	su_S_North
# "Power"	"waittime"	"su_S_North"
# 10	201
-1.9	6693	0.58
-1.9	6762	0.42
-1.9	6831	0.4
-1.9	6900	0.46
-1.9	6969	0.52
-1.9	7038	0.36
-1.9	7107	0.26
-1.9	7176	0.68
-1.9	7245	0.72
-1.9	7314	0.62
-1.9	7383	0.6
-1.9	7452	0.6
-1.9	7521	0.7
-1.9	7590	0.56
-1.9	7659	0.36
-1.9	7728	0.5
-1.9	7797	0.32
-1.9	7866	0.44
-1.9	7935	0.66
-1.9	8004	0.56
-1.9	8073	0.7
-1.9	8142	0.6
-1.9	8211	0.62
-1.9	8280	0.66
-1.9	8349	0.64
-1.9	8418	0.68
-1.9	8487	0.66
-1.9	8556	0.56
-1.9	8625	0.54
-1.9	8694	0.52
-1.9	8763	0.48
-1.9	8832	0.5
-1.9	8901	0.3
-1.9	8970	0.5
-1.9	9039	0.48
-1.9	9108	0.42
-1.9	9177	0.72
-1.9	9246	0.6
-1.9	9315	0.74
-1.9	9384	0.62
-1.9	9453	0.72
-1.9	9522	0.66
-1.9	9591	0.66
-1.9	9660	0.52
-1.9	9729	0.54
-1.9	9798	0.46
-1.9	9867	0.56
-1.9	9936	0.56
-1.9	10005	0.5
-1.9	10074	0.6
-1.9	10143	0.5
-1.9	10212	0.46
-1.9	10281	0.56
-1.9	10350	0.5
-1.9	10419	0.54
-1.9	10488	0.58
-1.9	10557	0.46
-1.9	10626	0.5
-1.9	10695	0.38
-1.9	10764	0.5
-1.9	10833	0.58
-1.9	10902	0.4
-1.9	10971	0.56
-1.9	11040	0.58
-1.9	11109	0.5
-1.9	11178	0.52
-1.9	11247	0.5
-1.9	11316	0.5
-1.9	11385	0.46
-1.9	11454	0.5
-1.9	11523	0.48
-1.9	11592	0.66
-1.9	11661	0.64
-1.9	11730	0.6
-1.9	11799	0.6
-1.9	11868	0.56
-1.9	11937	0.48
-1.9	12006	0.46
-1.9	12075	0.56
-1.9	12144	0.66
-1.9	12213	0.68
-1.9	12282	0.44
-1.9	12351	0.54
-1.9	12420	0.62
-1.9	12489	0.64
-1.9	12558	0.54
-1.9	12627	0.66
-1.9	12696	0.5
-1.9	12765	0.66
-1.9	12834	0.6
-1.9	12903	0.54
-1.9	12972	0.58
-1.9	13041	0.44
-1.9	13110	0.46
-1.9	13179	0.5
-1.9	13248	0.62
-1.9	13317	0.54
-1.9	13386	0.62
-1.9	13455	0.72
-1.9	13524	0.5
-1.9	13593	0.66
-1.9	13662	0.48
-1.9	13731	0.64
-1.9	13800	0.5

-1.8	0	0.98
-1.8	69	0.86
-1.8	138	0.82
-1.8	207	0.64
-1.8	276	0.38
-1.8	345	0.42
-1.8	414	0.28
-1.8	483	0.08
-1.8	552	0.24
-1.8	621	0.1
-1.8	690	0.36
-1.8	759	0.54
-1.8	828	0.62
-1.8	897	0.86
-1.8	966	0.92
-1.8	1035	0.96
-1.8	1104	0.88
-1.8	1173	0.84
-1.8	1242	0.64
-1.8	1311	0.58
-1.8	1380	0.28
-1.8	1449	0.16
-1.8	1518	0.14
-1.8	1587	0.24
-1.8	1656	0.28
-1.8	1725	0.56
-1.8	1794	0.52
-1.8	1863	0.7
-1.8	1932	0.78
-1.8	2001	0.84
-1.8	2070	0.82
-1.8	2139	0.94
-1.8	2208	0.82
-1.8	2277	0.62
-1.8	2346	0.4
-1.8	2415	0.4
-1.8	2484	0.32
-1.8	2553	0.26
-1.8	2622	0.24
-1.8	2691	0.22
-1.8	2760	0.44
-1.8	2829	0.52
-1.8	2898	0.6
-1.8	2967	0.72
-1.8	3036	0.7
-1.8	3105	0.88
-1.8	3174	0.84
-1.8	3243	0.74
-1.8	3312	0.64
-1.8	3381	0.5
-1.8	3450	0.34
-1.8	3519	0.16
-1.8	3588	0.24
-1.8	3657	0.28
-1.8	3726	0.22
-1.8	3795	0.34
-1.8	3864	0.56
-1.8	3933	0.32
-1.8	4002	0.74
-1.8	4071	0.8
-1.8	4140	0.86
-1.8	4209	0.82
-1.8	4278	0.62
-1.8	4347	0.64
-1.8	4416	0.4
-1.8	4485	0.46
-1.8	4554	0.52
-1.8	4623	0.38
-1.8	4692	0.3
-1.8	4761	0.24
-1.8	4830	0.32
-1.8	4899	0.38
-1.8	4968	0.52
-1.8	5037	0.54
-1.8	5106	0.8
-1.8	5175	0.8
-1.8	5244	0.66
-1.8	5313	0.76
-1.8	5382	0.78
-1.8	5451	0.48
-1.8	5520	0.5
-1.8	5589	0.46
-1.8	5658	0.38
-1.8	5727	0.38
-1.8	5796	0.34
-1.8	5865	0.44
-1.8	5934	0.58
-1.8	6003	0.56
-1.8	6072	0.68
-1.8	6141	0.76
-1.8	6210	0.82
-1.8	6279	0.78
-1.8	6348	0.54
-1.8	6417	0.7
-1.8	6486	0.44
-1.8	6555	0.36
-1.8	6624	0.4
-1.8	6693	0.36
-1.8	6762	0.42
-1.8	6831	0.38
-1.8	6900	0.54
-1.8	6969	0.56
-1.8	7038	0.62
-1.8	7107	0.56
-1.8	7176	0.72
-1.8	7245	0.68
-1.8	7314	0.6
-1.8	7383	0.7
-1.8	7452	0.56
-1.8	7521	0.46
-1.8	7590	0.36
-1.8	7659	0.42
-1.8	7728	0.36
-1.8	7797	0.5
-1.8	7866	0.48
-1.8	7935	0.44
-1.8	8004	0.62
-1.8	8073	0.78
-1.8	8142	0.74
-1.8	8211	0.62
-1.8	8280	0.66
-1.8	8349	0.72
-1.8	8418	0.34
-1.8	8487	0.68
-1.8	8556	0.34
-1.8	8625	0.66
-1.8	8694	0.64
-1.8	8763	0.36
-1.8	8832	0.28
-1.8	8901	0.38
-1.8	8970	0.52
-1.8	9039	0.64
-1.8	9108	0.66
-1.8	9177	0.64
-1.8	9246	0.6
-1.8	9315	0.68
-1.8	9384	0.58
-1.8	9453	0.48
-1.8	9522	0.62
-1.8	9591	0.58
-1.8	9660	0.5
-1.8	9729	0.58
-1.8	9798	0.46
-1.8	9867	0.62
-1.8	9936	0.52
-1.8	10005	0.4
-1.8	10074	0.52
-1.8	10143	0.48
-1.8	10212	0.38
-1.8	10281	0.46
-1.8	10350	0.64
-1.8	10419	0.52
-1.8	10488	0.54
-1.8	10557	0.62
-1.8	10626	0.7
-1.8	10695	0.48
-1.8	10764	0.52
-1.8	10833	0.44
-1.8	10902	0.6
-1.8	10971	0.46
-1.8	11040	0.42
-1.8	11109	0.66
-1.8	11178	0.62
-1.8	11247	0.6
-1.8	11316	0.64
-1.8	11385	0.58
-1.8	11454	0.54
-1.8	11523	0.62
-1.8	11592	0.6
-1.8	11661	0.56
-1.8	11730	0.54
-1.8	11799	0.34
-1.8	11868	0.52
-1.8	11937	0.4
-1.8	12006	0.62
-1.8	12075	0.6
-1.8	12144	0.5
-1.8	12213	0.68
-1.8	12282	0.58
-1.8	12351	0.48
-1.8	12420	0.4
-1.8	12489	0.54
-1.8	12558	0.58
-1.8	12627	0.46
-1.8	12696	0.52
-1.8	12765	0.56
-1.8	12834	0.58
-1.8	12903	0.62
-1.8	12972	0.6
-1.8	13041	0.52
-1.8	13110	0.54
-1.8	13179	0.48
-1.8	13248	0.48
-1.8	13317	0.5
-1.8	13386	0.56
-1.8	13455	0.5
-1.8	13524	0.7
-1.8	13593	0.54
-1.8	13662	0.58
-1.8	13731	0.52
-1.8	13800	0.58

-1.7	0	0.92
-1.7	69	0.8
-1.7	138	0.78
-1.7	207	0.7
-1.7	276	0.52
-1.7	345	0.32
-1.7	414	0.34
-1.7	483	0.12
-1.7	552	0.12
-1.7	621	0.36
-1.7	690	0.18
-1.7	759	0.54
-1.7	828	0.72
-1.7	897	0.8
-1.7	966	0.9
-1.7	1035	0.92
-1.7	1104	0.88
-1.7	1173	0.82
-1.7	1242	0.72
-1.7	1311	0.44
-1.7	1380	0.36
-1.7	1449	0.4
-1.7	1518	0.18
-1.7	1587	0.16
-1.7	1656	0.26
-1.7	1725	0.54
-1.7	1794	0.48
-1.7	1863	0.72
-1.7	1932	0.84
-1.7	2001	0.94
-1.7	2070	0.94
-1.7	2139	0.84
-1.7	2208	0.76
-1.7	2277	0.54
-1.7	2346	0.5
-1.7	2415	0.34
-1.7	2484	0.14
-1.7	2553	0.36
-1.7	2622	0.28
-1.7	2691	0.3
-1.7	2760	0.52
-1.7	2829	0.58
-1.7	2898	0.54
-1.7	2967	0.84
-1.7	3036	0.84
-1.7	3105	0.76
-1.7	3174	0.82
-1.7	3243	0.82
-1.7	3312	0.7
-1.7	3381	0.68
-1.7	3450	0.54
-1.7	3519	0.34
-1.7	3588	0.3
-1.7	3657	0.26
-1.7	3726	0.06
-1.7	3795	0.36
-1.7	3864	0.42
-1.7	3933	0.46
-1.7	4002	0.62
-1.7	4071	0.68
-1.7	4140	0.84
-1.7	4209	0.64
-1.7	4278	0.86
-1.7	4347	0.6
-1.7	4416	0.38
-1.7	4485	0.28
-1.7	4554	0.22
-1.7	4623	0.24
-1.7	4692	0.32
-1.7	4761	0.22
-1.7	4830	0.42
-1.7	4899	0.66
-1.7	4968	0.44
-1.7	5037	0.78
-1.7	5106	0.86
-1.7	5175	0.88
-1.7	5244	0.9
-1.7	5313	0.6
-1.7	5382	0.82
-1.7	5451	0.4
-1.7	5520	0.5
-1.7	5589	0.38
-1.7	5658	0.44
-1.7	5727	0.36
-1.7	5796	0.46
-1.7	5865	0.4
-1.7	5934	0.42
-1.7	6003	0.46
-1.7	6072	0.76
-1.7	6141	0.74
-1.7	6210	0.7
-1.7	6279	0.72
-1.7	6348	0.44
-1.7	6417	0.78
-1.7	6486	0.7
-1.7	6555	0.4
-1.7	6624	0.34
-1.7	6693	0.36
-1.7	6762	0.32
-1.7	6831	0.32
-1.7	6900	0.38
-1.7	6969	0.58
-1.7	7038	0.52
-1.7	7107	0.66
-1.7	7176	0.66
-1.7	7245	0.8
-1.7	7314	0.64
-1.7	7383	0.5
-1.7	7452	0.3
-1.7	7521	0.58
-1.7	7590	0.38
-1.7	7659	0.26
-1.7	7728	0.3
-1.7	7797	0.48
-1.7	7866	0.4
-1.7	7935	0.46
-1.7	8004	0.66
-1.7	8073	0.48
-1.7	8142	0.48
-1.7	8211	0.7
-1.7	8280	0.68
-1.7	8349	0.74
-1.7	8418	0.78
-1.7	8487	0.68
-1.7	8556	0.62
-1.7	8625	0.56
-1.7	8694	0.48
-1.7	8763	0.62
-1.7	8832	0.44
-1.7	8901	0.3
-1.7	8970	0.46
-1.7	9039	0.56
-1.7	9108	0.48
-1.7	9177	0.56
-1.7	9246	0.72
-1.7	9315	0.6
-1.7	9384	0.66
-1.7	9453	0.48
-1.7	9522	0.7
-1.7	9591	0.58
-1.7	9660	0.58
-1.7	9729	0.6
-1.7	9798	0.4
-1.7	9867	0.62
-1.7	9936	0.48
-1.7	10005	0.56
-1.7	10074	0.66
-1.7	10143	0.62
-1.7	10212	0.64
-1.7	10281	0.46
-1.7	10350	0.68
-1.7	10419	0.46
-1.7	10488	0.62
-1.7	10557	0.54
-1.7	10626	0.42
-1.7	10695	0.64
-1.7	10764	0.68
-1.7	10833	0.52
-1.7	10902	0.62
-1.7	10971	0.48
-1.7	11040	0.46
-1.7	11109	0.38
-1.7	11178	0.48
-1.7	11247	0.62
-1.7	11316	0.54
-1.7	11385	0.64
-1.7	11454	0.62
-1.7	11523	0.48
-1.7	11592	0.66
-1.7	11661	0.66
-1.7	11730	0.64
-1.7	11799	0.62
-1.7	11868	0.58
-1.7	11937	0.58
-1.7	12006	0.4
-1.7	12075	0.42
-1.7	12144	0.54
-1.7	12213	0.42
-1.7	12282	0.54
-1.7	12351	0.32
-1.7	12420	0.64
-1.7	12489	0.56
-1.7	12558	0.56
-1.7	12627	0.66
-1.7	12696	0.52
-1.7	12765	0.8
-1.7	12834	0.64
-1.7	12903	0.5
-1.7	12972	0.6
-1.7	13041	0.64
-1.7	13110	0.48
-1.7	13179	0.66
-1.7	13248	0.44
-1.7	13317	0.6
-1.7	13386	0.52
-1.7	13455	0.52
-1.7	13524	0.5
-1.7	13593	0.48
-1.7	13662	0.54
-1.7	13731	0.62
-1.7	13800	0.56

-1.6	0	0.84
-1.6	69	0.94
-1.6	138	0.78
-1.6	207	0.72
-1.6	276	0.42
-1.6	345	0.3
-1.6	414	0.26
-1.6	483	0.18
-1.6	552	0.24
-1.6	621	0.32
-1.6	690	0.38
-1.6	759	0.54
-1.6	828	0.68
-1.6	897	0.72
-1.6	966	0.8
-1.6	1035	0.88
-1.6	1104	0.84
-1.6	1173	0.86
-1.6	1242	0.78
-1.6	1311	0.58
-1.6	1380	0.36
-1.6	1449	0.22
-1.6	1518	0.2
-1.6	1587	0.16
-1.6	1656	0.22
-1.6	1725	0.42
-1.6	1794	0.58
-1.6	1863	0.78
-1.6	1932	0.78
-1.6	2001	0.82
-1.6	2070	0.9
-1.6	2139	0.86
-1.6	2208	0.8
-1.6	2277	0.54
-1.6	2346	0.54
-1.6	2415	0.4
-1.6	2484	0.34
-1.6	2553	0.32
-1.6	2622	0.28
-1.6	2691	0.16
-1.6	2760	0.5
-1.6	2829	0.36
-1.6	2898	0.54
-1.6	2967	0.78
-1.6	3036	0.8
-1.6	3105	0.8
-1.6	3174	0.84
-1.6	3243	0.6
-1.6	3312	0.66
-1.6	3381	0.54
-1.6	3450	0.44
-1.6	3519	0.36
-1.6	3588	0.18
-1.6	3657	0.2
-1.6	3726	0.4
-1.6	3795	0.3
-1.6	3864	0.58
-1.6	3933	0.68
-1.6	4002	0.76
-1.6	4071	0.88
-1.6	4140	0.8
-1.6	4209	0.64
-1.6	4278	0.74
-1.6	4347	0.62
-1.6	4416	0.54
-1.6	4485	0.34
-1.6	4554	0.1
-1.6	4623	0.34
-1.6	4692	0.3
-1.6	4761	0.58
-1.6	4830	0.54
-1.6	4899	0.7
-1.6	4968	0.74
-1.6	5037	0.8
-1.6	5106	0.74
-1.6	5175	0.8
-1.6	5244	0.74
-1.6	5313	0.74
-1.6	5382	0.46
-1.6	5451	0.44
-1.6	5520	0.26
-1.6	5589	0.3
-1.6	5658	0.5
-1.6	5727	0.46
-1.6	5796	0.42
-1.6	5865	0.48
-1.6	5934	0.38
-1.6	6003	0.76
-1.6	6072	0.58
-1.6	6141	0.82
-1.6	6210	0.56
-1.6	6279	0.42
-1.6	6348	0.4
-1.6	6417	0.34
-1.6	6486	0.66
-1.6	6555	0.46
-1.6	6624	0.66
-1.6	6693	0.48
-1.6	6762	0.46
-1.6	6831	0.54
-1.6	6900	0.34
-1.6	6969	0.4
-1.6	7038	0.52
-1.6	7107	0.64
-1.6	7176	0.8
-1.6	7245	0.7
-1.6	7314	0.48
-1.6	7383	0.74
-1.6	7452	0.76
-1.6	7521	0.48
-1.6	7590	0.5
-1.6	7659	0.28
-1.6	7728	0.52
-1.6	7797	0.38
-1.6	7866	0.52
-1.6	7935	0.4
-1.6	8004	0.5
-1.6	8073	0.54
-1.6	8142	0.74
-1.6	8211	0.64
-1.6	8280	0.58
-1.6	8349	0.62
-1.6	8418	0.64
-1.6	8487	0.68
-1.6	8556	0.68
-1.6	8625	0.5
-1.6	8694	0.28
-1.6	8763	0.4
-1.6	8832	0.56
-1.6	8901	0.84
-1.6	8970	0.52
-1.6	9039	0.44
-1.6	9108	0.46
-1.6	9177	0.58
-1.6	9246	0.6
-1.6	9315	0.42
-1.6	9384	0.68
-1.6	9453	0.72
-1.6	9522	0.56
-1.6	9591	0.44
-1.6	9660	0.28
-1.6	9729	0.64
-1.6	9798	0.54
-1.6	9867	0.44
-1.6	9936	0.4
-1.6	10005	0.42
-1.6	10074	0.66
-1.6	10143	0.64
-1.6	10212	0.64
-1.6	10281	0.52
-1.6	10350	0.54
-1.6	10419	0.6
-1.6	10488	0.52
-1.6	10557	0.38
-1.6	10626	0.7
-1.6	10695	0.56
-1.6	10764	0.4
-1.6	10833	0.46
-1.6	10902	0.48
-1.6	10971	0.56
-1.6	11040	0.58
-1.6	11109	0.38
-1.6	11178	0.5
-1.6	11247	0.34
-1.6	11316	0.5
-1.6	11385	0.38
-1.6	11454	0.44
-1.6	11523	0.5
-1.6	11592	0.46
-1.6	11661	0.5
-1.6	11730	0.52
-1.6	11799	0.56
-1.6	11868	0.62
-1.6	11937	0.52
-1.6	12006	0.62
-1.6	12075	0.46
-1.6	12144	0.38
-1.6	12213	0.58
-1.6	12282	0.48
-1.6	12351	0.56
-1.6	12420	0.68
-1.6	12489	0.68
-1.6	12558	0.54
-1.6	12627	0.62
-1.6	12696	0.58
-1.6	12765	0.66
-1.6	12834	0.5
-1.6	12903	0.62
-1.6	12972	0.62
-1.6	13041	0.64
-1.6	13110	0.58
-1.6	13179	0.56
-1.6	13248	0.54
-1.6	13317	0.44
-1.6	13386	0.48
-1.6	13455	0.44
-1.6	13524	0.48
-1.6	13593	0.7
-1.6	13662	0.48
-1.6	13731	0.52
-1.6	13800	0.44

-1.5	0	0.88
-1.5	69	0.86
-1.5	138	0.72
-1.5	207	0.6
-1.5	276	0.46
-1.5	345	0.4
-1.5	414	0.28
-1.5	483	0.22
-1.5	552	0.16
-1.5	621	0.24
-1.5	690	0.32
-1.5	759	0.52
-1.5	828	0.66
-1.5	897	0.78
-1.5	966	0.9
-1.5	1035	0.9
-1.5	1104	0.78
-1.5	1173	0.78
-1.5	1242	0.4
-1.5	1311	0.36
-1.5	1380	0.26
-1.5	1449	0.34
-1.5	1518	0.22
-1.5	1587	0.2
