# wait_q2_set	avg_S_North	su_S_North
# "wait_q2"	"avg_S_North"	"su_S_North"
# 121
0	135.551147460938	0.14
0.25	134.870300292969	0.125
0.5	131.570129394531	0.08
0.75	130.80322265625	0.075
1	132.478332519531	0.1
1.25	130.746459960938	0.075
1.5	130.759582519531	0.085
1.75	131.763916015625	0.08
2	134.759826660156	0.12
2.25	135.994873046875	0.125
2.5	138.59619140625	0.155
2.75	138.915405273438	0.155
3	145.481262207031	0.26
3.25	146.2158203125	0.275
3.5	147.181396484375	0.295
3.75	147.748107910156	0.295
4	153.570861816406	0.4
4.25	153.085327148438	0.375
4.5	154.100341796875	0.405
4.75	156.36962890625	0.445
5	155.52490234375	0.45
5.25	153.622741699219	0.405
5.5	152.731628417969	0.415
5.75	150.006103515625	0.38
6	156.604309082031	0.465
6.25	152.847290039062	0.415
6.5	149.639282226562	0.365
6.75	153.185119628906	0.4
7	149.309387207031	0.335
7.25	142.803344726562	0.235
7.5	138.902893066406	0.2
7.75	141.493225097656	0.225
8	140.488891601562	0.2
8.25	141.421203613281	0.22
8.5	136.837463378906	0.16
8.75	134.560241699219	0.11
9	136.662292480469	0.14
9.25	140.272521972656	0.12
9.5	136.125183105469	0.105
9.75	134.349365234375	0.08
10	135.296325683594	0.08
10.25	140.72998046875	0.15
10.5	138.808898925781	0.13
10.75	138.912963867188	0.18
11	137.102355957031	0.145
11.25	138.810424804688	0.16
11.5	137.404174804688	0.17
11.75	139.806823730469	0.195
12	140.57373046875	0.195
12.25	140.8837890625	0.22
12.5	140.973815917969	0.185
12.75	145.604858398438	0.275
13	144.28955078125	0.25
13.25	144.301452636719	0.23
13.5	140.164489746094	0.16
13.75	141.239013671875	0.175
14	139.637756347656	0.195
14.25	140.728454589844	0.165
14.5	137.958374023438	0.155
14.75	135.693664550781	0.115
15	137.571105957031	0.14
15.25	134.432067871094	0.1
15.5	133.232727050781	0.085
15.75	133.65478515625	0.07
16	133.550415039062	0.095
16.25	137.608642578125	0.13
16.5	137.471008300781	0.15
16.75	140.110473632812	0.19
17	141.765747070312	0.185
17.25	140.861511230469	0.205
17.5	145.019226074219	0.29
17.75	147.854919433594	0.325
18	151.645202636719	0.36
18.25	150.933837890625	0.345
18.5	153.00048828125	0.39
18.75	157.937316894531	0.47
19	155.554809570312	0.435
19.25	156.454162597656	0.445
19.5	160.58349609375	0.5
19.75	156.49169921875	0.44
20	153.576965332031	0.415
20.25	157.805786132812	0.475
20.5	149.2724609375	0.335
20.75	152.307434082031	0.385
21	145.671997070312	0.3
21.25	150.580139160156	0.35
21.5	144.161682128906	0.27
21.75	140.91552734375	0.225
22	140.567016601562	0.215
22.25	136.557922363281	0.14
22.5	137.404174804688	0.165
22.75	131.642150878906	0.07
23	133.526611328125	0.1
23.25	131.127014160156	0.075
23.5	131.47216796875	0.06
23.75	132.798156738281	0.08
24	130.9375	0.08
24.25	135.339660644531	0.12
24.5	131.110534667969	0.08
24.75	138.031005859375	0.17
25	140.060729980469	0.19
25.25	140.611572265625	0.215
25.5	140.566711425781	0.215
25.75	141.731262207031	0.24
26	139.087524414062	0.215
26.25	141.111450195312	0.225
26.5	139.493713378906	0.215
26.75	140.4833984375	0.2
27	140.816345214844	0.21
27.25	139.320678710938	0.21
27.5	139.143371582031	0.195
27.75	138.607788085938	0.185
28	135.30029296875	0.145
28.25	134.892578125	0.145
28.5	131.462097167969	0.08
28.75	132.929992675781	0.075
29	133.470458984375	0.095
29.25	132.881774902344	0.09
29.5	132.293090820312	0.085
29.75	134.761352539062	0.115
30	131.339416503906	0.085
