# wait_q2_set	avg_S_North	su_S_North
# "wait_q2"	"avg_S_North"	"su_S_North"
# 121
0	126.37939453125	0.075
0.25	135.760498046875	0.195
0.5	139.754333496094	0.26
0.75	144.761962890625	0.325
1	150.309753417969	0.43
1.25	159.359741210938	0.56
1.5	159.981384277344	0.575
1.75	169.151611328125	0.715
2	173.18115234375	0.795
2.25	175.301513671875	0.835
2.5	179.866027832031	0.91
2.75	180.466918945312	0.91
3	181.0595703125	0.895
3.25	177.380981445312	0.88
3.5	174.485473632812	0.835
3.75	170.5908203125	0.79
4	170.101013183594	0.735
4.25	166.587829589844	0.68
4.5	158.182373046875	0.565
4.75	154.601440429688	0.515
5	147.125244140625	0.405
5.25	144.249877929688	0.34
5.5	132.691040039062	0.14
5.75	129.186096191406	0.105
6	129.502868652344	0.095
6.25	127.536010742188	0.085
6.5	127.720947265625	0.085
6.75	129.119262695312	0.11
7	135.160827636719	0.17
7.25	134.613037109375	0.165
7.5	142.435607910156	0.295
7.75	147.6708984375	0.38
8	153.536987304688	0.465
8.25	159.107666015625	0.565
8.5	161.515197753906	0.61
8.75	166.829833984375	0.69
9	170.274963378906	0.755
9.25	173.316955566406	0.8
9.5	181.102905273438	0.9
9.75	183.152160644531	0.955
10	181.112670898438	0.905
10.25	178.648986816406	0.895
10.5	176.618347167969	0.845
10.75	174.173583984375	0.8
11	171.455993652344	0.74
11.25	163.577880859375	0.645
11.5	159.04296875	0.565
11.75	157.222900390625	0.545
12	145.700073242188	0.355
12.25	142.301025390625	0.295
12.5	141.130981445312	0.265
12.75	131.684875488281	0.12
13	131.369018554688	0.12
13.25	131.750793457031	0.125
13.5	128.552551269531	0.07
13.75	129.963684082031	0.1
14	131.422424316406	0.13
14.25	137.761535644531	0.205
14.5	145.064697265625	0.33
14.75	143.92578125	0.31
15	151.112670898438	0.42
15.25	151.058349609375	0.46
15.5	163.385314941406	0.63
15.75	172.497863769531	0.75
16	170.40771484375	0.755
16.25	176.331176757812	0.85
16.5	177.357788085938	0.86
16.75	178.411560058594	0.865
17	179.616394042969	0.88
17.25	178.222045898438	0.87
17.5	179.015197753906	0.85
17.75	173.756408691406	0.785
18	169.714050292969	0.71
18.25	168.065795898438	0.7
18.5	158.985900878906	0.54
18.75	164.839782714844	0.615
19	154.414978027344	0.45
19.25	145.958557128906	0.345
19.5	136.670837402344	0.205
19.75	133.074035644531	0.135
20	132.586059570312	0.135
20.25	128.381652832031	0.065
20.5	132.342224121094	0.095
20.75	131.91162109375	0.1
21	132.924194335938	0.11
21.25	137.056884765625	0.18
21.5	143.028869628906	0.28
21.75	144.556579589844	0.32
22	153.354797363281	0.435
22.25	157.227172851562	0.5
22.5	160.191040039062	0.58
22.75	165.516357421875	0.655
23	170.751342773438	0.755
23.25	177.096557617188	0.84
23.5	177.971496582031	0.875
23.75	182.795104980469	0.93
24	180.663757324219	0.915
24.25	181.284484863281	0.905
24.5	174.908447265625	0.835
24.75	175.086364746094	0.825
25	170.248413085938	0.75
25.25	165.91796875	0.665
25.5	162.610473632812	0.645
25.75	157.943725585938	0.55
26	150.9228515625	0.435
26.25	147.709045410156	0.375
26.5	139.004821777344	0.25
26.75	132.324523925781	0.155
27	132.168884277344	0.125
27.25	129.222717285156	0.105
27.5	126.970520019531	0.055
27.75	129.933471679688	0.11
28	129.004821777344	0.1
28.25	135.978088378906	0.21
28.5	140.29052734375	0.255
28.75	142.408752441406	0.295
29	150.982360839844	0.43
29.25	151.149597167969	0.42
29.5	155.746459960938	0.525
29.75	165.474853515625	0.655
30	167.334594726562	0.68
