# wait_q1_set	su_S_North
# "wait_q1"	"su_S_North"
# 101
0	0.128333333333333
0.6	0.125
1.2	0.1
1.8	0.101666666666667
2.4	0.116666666666667
3	0.09
3.6	0.0933333333333333
4.2	0.0916666666666667
4.8	0.125
5.4	0.141666666666667
6	0.213333333333333
6.6	0.278333333333333
7.2	0.3
7.8	0.401666666666667
8.4	0.445
9	0.531666666666667
9.6	0.628333333333333
10.2	0.653333333333333
10.8	0.676666666666667
11.4	0.76
12	0.778333333333333
12.6	0.78
13.2	0.783333333333333
13.8	0.751666666666667
14.4	0.748333333333333
15	0.66
15.6	0.586666666666667
16.2	0.561666666666667
16.8	0.455
17.4	0.356666666666667
18	0.306666666666667
18.6	0.228333333333333
19.2	0.24
19.8	0.158333333333333
20.4	0.143333333333333
21	0.0816666666666667
21.6	0.085
22.2	0.0916666666666667
22.8	0.105
23.4	0.151666666666667
24	0.116666666666667
24.6	0.193333333333333
25.2	0.216666666666667
25.8	0.263333333333333
26.4	0.28
27	0.245
27.6	0.281666666666667
28.2	0.268333333333333
28.8	0.215
29.4	0.226666666666667
30	0.19
30.6	0.15
31.2	0.125
31.8	0.115
32.4	0.09
33	0.0866666666666667
33.6	0.1
34.2	0.0966666666666667
34.8	0.125
35.4	0.188333333333333
36	0.198333333333333
36.6	0.318333333333333
37.2	0.378333333333333
37.8	0.46
38.4	0.51
39	0.586666666666667
39.6	0.636666666666667
40.2	0.72
40.8	0.71
41.4	0.76
42	0.758333333333333
42.6	0.743333333333333
43.2	0.741666666666667
43.8	0.696666666666667
44.4	0.67
45	0.66
45.6	0.478333333333333
46.2	0.436666666666667
46.8	0.428333333333333
47.4	0.336666666666667
48	0.273333333333333
48.6	0.203333333333333
49.2	0.183333333333333
49.8	0.128333333333333
50.4	0.07
51	0.0933333333333333
51.6	0.131666666666667
52.2	0.13
52.8	0.105
53.4	0.15
54	0.168333333333333
54.6	0.208333333333333
55.2	0.236666666666667
55.8	0.24
56.4	0.248333333333333
57	0.258333333333333
57.6	0.243333333333333
58.2	0.22
58.8	0.205
59.4	0.205
60	0.155
