# wait_q1_set	su_S_North
# "wait_q1"	"su_S_North"
# 101
0	0.175
0.6	0.208333333333333
1.2	0.185
1.8	0.221666666666667
2.4	0.173333333333333
3	0.196666666666667
3.6	0.211666666666667
4.2	0.151666666666667
4.8	0.116666666666667
5.4	0.12
6	0.095
6.6	0.1
7.2	0.0883333333333333
7.8	0.0933333333333333
8.4	0.156666666666667
9	0.178333333333333
9.6	0.23
10.2	0.291666666666667
10.8	0.37
11.4	0.41
12	0.59
12.6	0.583333333333333
13.2	0.691666666666667
13.8	0.756666666666667
14.4	0.838333333333333
15	0.888333333333333
15.6	0.913333333333333
16.2	0.93
16.8	0.951666666666667
17.4	0.915
18	0.903333333333333
18.6	0.845
19.2	0.781666666666667
19.8	0.691666666666667
20.4	0.628333333333333
21	0.576666666666667
21.6	0.476666666666667
22.2	0.383333333333333
22.8	0.315
23.4	0.248333333333333
24	0.21
24.6	0.17
25.2	0.185
25.8	0.131666666666667
26.4	0.095
27	0.0833333333333333
27.6	0.115
28.2	0.126666666666667
28.8	0.166666666666667
29.4	0.16
30	0.178333333333333
30.6	0.193333333333333
31.2	0.185
31.8	0.203333333333333
32.4	0.215
33	0.196666666666667
33.6	0.186666666666667
34.2	0.13
34.8	0.131666666666667
35.4	0.113333333333333
36	0.0666666666666667
36.6	0.0733333333333333
37.2	0.111666666666667
37.8	0.118333333333333
38.4	0.153333333333333
39	0.201666666666667
39.6	0.261666666666667
40.2	0.3
40.8	0.455
41.4	0.46
42	0.626666666666667
42.6	0.63
43.2	0.776666666666667
43.8	0.833333333333333
44.4	0.86
45	0.918333333333333
45.6	0.925
46.2	0.931666666666667
46.8	0.926666666666667
47.4	0.9
48	0.821666666666667
48.6	0.813333333333333
49.2	0.733333333333333
49.8	0.623333333333333
50.4	0.588333333333333
51	0.5
51.6	0.438333333333333
52.2	0.386666666666667
52.8	0.285
53.4	0.171666666666667
54	0.136666666666667
54.6	0.101666666666667
55.2	0.09
55.8	0.105
56.4	0.085
57	0.0966666666666667
57.6	0.125
58.2	0.13
58.8	0.186666666666667
59.4	0.161666666666667
60	0.17
