# waittime_set	su_S_North
# "waittime"	"su_S_North"
# 101
0	0.943333333333333
720	0.953333333333333
1440	0.94
2160	0.916666666666667
2880	0.923333333333333
3600	0.933333333333333
4320	0.896666666666667
5040	0.873333333333333
5760	0.836666666666667
6480	0.763333333333333
7200	0.736666666666667
7920	0.74
8640	0.733333333333333
9360	0.683333333333333
10080	0.76
10800	0.733333333333333
11520	0.693333333333333
12240	0.703333333333333
12960	0.703333333333333
13680	0.716666666666667
14400	0.693333333333333
15120	0.68
15840	0.623333333333333
16560	0.62
17280	0.603333333333333
18000	0.62
18720	0.576666666666667
19440	0.563333333333333
20160	0.56
20880	0.62
21600	0.6
22320	0.59
23040	0.53
23760	0.603333333333333
24480	0.53
25200	0.5
25920	0.516666666666667
26640	0.576666666666667
27360	0.543333333333333
28080	0.6
28800	0.556666666666667
29520	0.523333333333333
30240	0.533333333333333
30960	0.5
31680	0.586666666666667
32400	0.506666666666667
33120	0.473333333333333
33840	0.526666666666667
34560	0.556666666666667
35280	0.58
36000	0.533333333333333
36720	0.51
37440	0.553333333333333
38160	0.543333333333333
38880	0.49
39600	0.563333333333333
40320	0.473333333333333
41040	0.483333333333333
41760	0.553333333333333
42480	0.53
43200	0.56
43920	0.493333333333333
44640	0.486666666666667
45360	0.536666666666667
46080	0.526666666666667
46800	0.57
47520	0.52
48240	0.563333333333333
48960	0.48
49680	0.53
50400	0.45
51120	0.513333333333333
51840	0.513333333333333
52560	0.47
53280	0.493333333333333
54000	0.483333333333333
54720	0.56
55440	0.53
56160	0.506666666666667
56880	0.506666666666667
57600	0.513333333333333
58320	0.51
59040	0.503333333333333
59760	0.543333333333333
60480	0.516666666666667
61200	0.486666666666667
61920	0.546666666666667
62640	0.55
63360	0.553333333333333
64080	0.51
64800	0.573333333333333
65520	0.54
66240	0.513333333333333
66960	0.516666666666667
67680	0.556666666666667
68400	0.553333333333333
69120	0.546666666666667
69840	0.523333333333333
70560	0.496666666666667
71280	0.556666666666667
72000	0.49
