# waittime_set	su_S_North
# "waittime"	"su_S_North"
# 51
0	0.946666666666667
198	0.913333333333333
396	0.896666666666667
594	0.92
792	0.896666666666667
990	0.926666666666667
1188	0.906666666666667
1386	0.92
1584	0.916666666666667
1782	0.893333333333333
1980	0.903333333333333
2178	0.913333333333333
2376	0.906666666666667
2574	0.89
2772	0.876666666666667
2970	0.923333333333333
3168	0.9
3366	0.856666666666667
3564	0.866666666666667
3762	0.803333333333333
3960	0.8
4158	0.81
4356	0.803333333333333
4554	0.78
4752	0.793333333333333
4950	0.726666666666667
5148	0.686666666666667
5346	0.646666666666667
5544	0.566666666666667
5742	0.583333333333333
5940	0.576666666666667
6138	0.55
6336	0.573333333333333
6534	0.593333333333333
6732	0.586666666666667
6930	0.543333333333333
7128	0.563333333333333
7326	0.536666666666667
7524	0.623333333333333
7722	0.543333333333333
7920	0.576666666666667
8118	0.506666666666667
8316	0.493333333333333
8514	0.536666666666667
8712	0.58
8910	0.55
9108	0.503333333333333
9306	0.57
9504	0.53
9702	0.513333333333333
9900	0.553333333333333
