# waittime_set	su_S_North
# "waittime"	"su_S_North"
# 51
0	0.916666666666667
300	0.876666666666667
600	0.926666666666667
900	0.89
1200	0.92
1500	0.916666666666667
1800	0.91
2100	0.926666666666667
2400	0.936666666666667
2700	0.883333333333333
3000	0.896666666666667
3300	0.913333333333333
3600	0.866666666666667
3900	0.89
4200	0.87
4500	0.866666666666667
4800	0.826666666666667
5100	0.833333333333333
5400	0.763333333333333
5700	0.76
6000	0.76
6300	0.706666666666667
6600	0.743333333333333
6900	0.723333333333333
7200	0.736666666666667
7500	0.683333333333333
7800	0.676666666666667
8100	0.673333333333333
8400	0.65
8700	0.63
9000	0.6
9300	0.543333333333333
9600	0.533333333333333
9900	0.573333333333333
10200	0.516666666666667
10500	0.566666666666667
10800	0.52
11100	0.53
11400	0.496666666666667
11700	0.566666666666667
12000	0.5
12300	0.503333333333333
12600	0.573333333333333
12900	0.516666666666667
13200	0.503333333333333
13500	0.52
13800	0.55
14100	0.54
14400	0.553333333333333
14700	0.52
15000	0.526666666666667
