# wait_q1_set	su_S_North
# "wait_q1"	"su_S_North"
# 101
0	0.108333333333333
0.6	0.0766666666666667
1.2	0.0883333333333333
1.8	0.095
2.4	0.103333333333333
3	0.085
3.6	0.118333333333333
4.2	0.12
4.8	0.116666666666667
5.4	0.12
6	0.113333333333333
6.6	0.0816666666666667
7.2	0.123333333333333
7.8	0.0983333333333333
8.4	0.0816666666666667
9	0.0616666666666667
9.6	0.123333333333333
10.2	0.138333333333333
10.8	0.148333333333333
11.4	0.176666666666667
12	0.23
12.6	0.296666666666667
13.2	0.325
13.8	0.476666666666667
14.4	0.496666666666667
15	0.573333333333333
15.6	0.671666666666667
16.2	0.698333333333333
16.8	0.795
17.4	0.815
18	0.855
18.6	0.906666666666667
19.2	0.9
19.8	0.886666666666667
20.4	0.885
21	0.821666666666667
21.6	0.785
22.2	0.701666666666667
22.8	0.66
23.4	0.603333333333333
24	0.523333333333333
24.6	0.466666666666667
25.2	0.41
25.8	0.281666666666667
26.4	0.233333333333333
27	0.186666666666667
27.6	0.118333333333333
28.2	0.145
28.8	0.095
29.4	0.09
30	0.0766666666666667
30.6	0.101666666666667
31.2	0.103333333333333
31.8	0.0866666666666667
32.4	0.0966666666666667
33	0.13
33.6	0.131666666666667
34.2	0.13
34.8	0.108333333333333
35.4	0.123333333333333
36	0.131666666666667
36.6	0.0916666666666667
37.2	0.0983333333333333
37.8	0.0666666666666667
38.4	0.103333333333333
39	0.118333333333333
39.6	0.125
40.2	0.135
40.8	0.193333333333333
41.4	0.231666666666667
42	0.263333333333333
42.6	0.38
43.2	0.411666666666667
43.8	0.523333333333333
44.4	0.59
45	0.65
45.6	0.715
46.2	0.771666666666667
46.8	0.82
47.4	0.865
48	0.868333333333333
48.6	0.905
49.2	0.898333333333333
49.8	0.863333333333333
50.4	0.843333333333333
51	0.785
51.6	0.71
52.2	0.656666666666667
52.8	0.563333333333333
53.4	0.521666666666667
54	0.446666666666667
54.6	0.381666666666667
55.2	0.306666666666667
55.8	0.266666666666667
56.4	0.211666666666667
57	0.148333333333333
57.6	0.128333333333333
58.2	0.07
58.8	0.085
59.4	0.09
60	0.0883333333333333
