# t_cz_set	su_S_North
# "t_cz"	"su_S_North"
# 50
0	0.88
39.3	0.86
78.6	0.803333333333333
117.9	0.61
157.2	0.423333333333333
196.5	0.27
235.8	0.173333333333333
275.1	0.2
314.4	0.283333333333333
353.7	0.333333333333333
393	0.523333333333333
432.3	0.723333333333333
471.6	0.886666666666667
510.9	0.866666666666667
550.2	0.86
589.5	0.753333333333333
628.8	0.623333333333333
668.1	0.486666666666667
707.4	0.313333333333333
746.7	0.236666666666667
786	0.25
825.3	0.233333333333333
864.6	0.326666666666667
903.9	0.45
943.2	0.583333333333333
982.5	0.77
1021.8	0.846666666666667
1061.1	0.876666666666667
1100.4	0.81
1139.7	0.723333333333333
1179	0.64
1218.3	0.42
1257.6	0.28
1296.9	0.23
1336.2	0.276666666666667
1375.5	0.27
1414.8	0.48
1454.1	0.416666666666667
1493.4	0.743333333333333
1532.7	0.82
1572	0.813333333333333
1611.3	0.82
1650.6	0.786666666666667
1689.9	0.656666666666667
1729.2	0.593333333333333
1768.5	0.46
1807.8	0.31
1847.1	0.21
1886.4	0.243333333333333
1925.7	0.406666666666667
