# wait_q2_set	su_S_North
# "wait_q2"	"su_S_North"
# 36
0	0.328
2	0.28
4	0.346
6	0.308
8	0.378
10	0.422
12	0.412
14	0.444
16	0.498
18	0.482
20	0.54
22	0.626
24	0.672
26	0.674
28	0.732
30	0.784
32	0.794
34	0.774
36	0.772
38	0.82
40	0.84
42	0.824
44	0.792
46	0.76
48	0.804
50	0.754
52	0.75
54	0.702
56	0.706
58	0.688
60	0.646
62	0.616
64	0.592
66	0.552
68	0.486
70	0.49
