# waittime_set	su_S_North
# "waittime"	"su_S_North"
# 101
0	0.916666666666667
45	0.89
90	0.91
135	0.903333333333333
180	0.933333333333333
225	0.923333333333333
270	0.896666666666667
315	0.943333333333333
360	0.92
405	0.906666666666667
450	0.926666666666667
495	0.936666666666667
540	0.933333333333333
585	0.93
630	0.91
675	0.933333333333333
720	0.926666666666667
765	0.916666666666667
810	0.92
855	0.916666666666667
900	0.903333333333333
945	0.92
990	0.943333333333333
1035	0.926666666666667
1080	0.91
1125	0.943333333333333
1170	0.91
1215	0.923333333333333
1260	0.916666666666667
1305	0.91
1350	0.906666666666667
1395	0.896666666666667
1440	0.91
1485	0.913333333333333
1530	0.886666666666667
1575	0.92
1620	0.93
1665	0.916666666666667
1710	0.866666666666667
1755	0.883333333333333
1800	0.856666666666667
1845	0.896666666666667
1890	0.926666666666667
1935	0.88
1980	0.87
2025	0.87
2070	0.87
2115	0.856666666666667
2160	0.88
2205	0.84
2250	0.833333333333333
2295	0.87
2340	0.833333333333333
2385	0.846666666666667
2430	0.846666666666667
2475	0.813333333333333
2520	0.853333333333333
2565	0.836666666666667
2610	0.833333333333333
2655	0.82
2700	0.823333333333333
2745	0.853333333333333
2790	0.823333333333333
2835	0.78
2880	0.783333333333333
2925	0.79
2970	0.806666666666667
3015	0.753333333333333
3060	0.773333333333333
3105	0.77
3150	0.77
3195	0.733333333333333
3240	0.69
3285	0.683333333333333
3330	0.763333333333333
3375	0.763333333333333
3420	0.733333333333333
3465	0.673333333333333
3510	0.636666666666667
3555	0.683333333333333
3600	0.59
3645	0.666666666666667
3690	0.776666666666667
3735	0.716666666666667
3780	0.673333333333333
3825	0.686666666666667
3870	0.723333333333333
3915	0.63
3960	0.6
4005	0.596666666666667
4050	0.606666666666667
4095	0.586666666666667
4140	0.656666666666667
4185	0.66
4230	0.653333333333333
4275	0.666666666666667
4320	0.696666666666667
4365	0.63
4410	0.613333333333333
4455	0.643333333333333
4500	0.586666666666667
