# wait_q1_set	su_S_North
# "wait_q1"	"su_S_North"
# 101
0	0.348333333333333
0.6	0.403333333333333
1.2	0.338333333333333
1.8	0.345
2.4	0.36
3	0.343333333333333
3.6	0.33
4.2	0.321666666666667
4.8	0.268333333333333
5.4	0.27
6	0.235
6.6	0.21
7.2	0.178333333333333
7.8	0.151666666666667
8.4	0.141666666666667
9	0.108333333333333
9.6	0.105
10.2	0.113333333333333
10.8	0.1
11.4	0.095
12	0.116666666666667
12.6	0.09
13.2	0.09
13.8	0.0983333333333333
14.4	0.103333333333333
15	0.085
15.6	0.0966666666666667
16.2	0.0733333333333333
16.8	0.1
17.4	0.085
18	0.0966666666666667
18.6	0.101666666666667
19.2	0.111666666666667
19.8	0.108333333333333
20.4	0.131666666666667
21	0.151666666666667
21.6	0.165
22.2	0.216666666666667
22.8	0.186666666666667
23.4	0.23
24	0.221666666666667
24.6	0.303333333333333
25.2	0.285
25.8	0.32
26.4	0.381666666666667
27	0.371666666666667
27.6	0.445
28.2	0.41
28.8	0.463333333333333
29.4	0.466666666666667
30	0.41
30.6	0.435
31.2	0.423333333333333
31.8	0.411666666666667
32.4	0.408333333333333
33	0.36
33.6	0.368333333333333
34.2	0.316666666666667
34.8	0.29
35.4	0.268333333333333
36	0.241666666666667
36.6	0.201666666666667
37.2	0.176666666666667
37.8	0.14
38.4	0.141666666666667
39	0.13
39.6	0.1
40.2	0.0816666666666667
40.8	0.09
41.4	0.141666666666667
42	0.0883333333333333
42.6	0.1
43.2	0.095
43.8	0.11
44.4	0.08
45	0.0883333333333333
45.6	0.095
46.2	0.0916666666666667
46.8	0.0766666666666667
47.4	0.085
48	0.113333333333333
48.6	0.116666666666667
49.2	0.118333333333333
49.8	0.138333333333333
50.4	0.123333333333333
51	0.151666666666667
51.6	0.188333333333333
52.2	0.166666666666667
52.8	0.216666666666667
53.4	0.216666666666667
54	0.285
54.6	0.311666666666667
55.2	0.308333333333333
55.8	0.348333333333333
56.4	0.398333333333333
57	0.386666666666667
57.6	0.426666666666667
58.2	0.421666666666667
58.8	0.43
59.4	0.411666666666667
60	0.423333333333333
