# wait_q2_set	avg_S_North	su_S_North
# "wait_q2"	"avg_S_North"	"su_S_North"
# 121
0	134.451599121094	0.11
0.25	132.673645019531	0.1
0.5	131.510925292969	0.095
0.75	132.537841796875	0.1
1	133.6669921875	0.11
1.25	133.814392089844	0.13
1.5	131.305236816406	0.105
1.75	132.354736328125	0.115
2	132.997436523438	0.12
2.25	135.027465820312	0.15
2.5	132.606506347656	0.13
2.75	138.557739257812	0.215
3	139.877014160156	0.235
3.25	141.908569335938	0.28
3.5	145.555114746094	0.32
3.75	143.718872070312	0.295
4	149.206848144531	0.385
4.25	152.449035644531	0.44
4.5	151.589660644531	0.41
4.75	150.733642578125	0.405
5	153.628845214844	0.445
5.25	153.433837890625	0.465
5.5	152.292175292969	0.43
5.75	151.120300292969	0.41
6	151.253662109375	0.395
6.25	147.710571289062	0.35
6.5	151.284790039062	0.4
6.75	147.451477050781	0.335
7	143.723754882812	0.32
7.25	138.139343261719	0.215
7.5	132.708740234375	0.18
7.75	135.711975097656	0.195
8	134.789733886719	0.19
8.25	133.316040039062	0.155
8.5	131.405334472656	0.12
8.75	127.363586425781	0.075
9	128.026123046875	0.085
9.25	128.571472167969	0.07
9.5	129.3408203125	0.095
9.75	127.158203125	0.075
10	132.501831054688	0.13
10.25	132.213439941406	0.135
10.5	132.048645019531	0.125
10.75	132.382507324219	0.125
11	136.254272460938	0.2
11.25	134.363098144531	0.175
11.5	138.045043945312	0.22
11.75	136.526489257812	0.19
12	134.117736816406	0.18
12.25	137.414245605469	0.225
12.5	131.950378417969	0.175
12.75	135.603942871094	0.19
13	135.790405273438	0.195
13.25	132.195129394531	0.125
13.5	131.93359375	0.15
13.75	129.719543457031	0.095
14	130.372619628906	0.11
14.25	133.824768066406	0.135
14.5	130.172424316406	0.075
14.75	129.960327148438	0.085
15	131.097717285156	0.06
15.25	130.4345703125	0.08
15.5	133.719482421875	0.095
15.75	133.238525390625	0.125
16	134.113464355469	0.12
16.25	132.196044921875	0.105
16.5	137.3046875	0.19
16.75	136.416931152344	0.16
17	136.970825195312	0.18
17.25	139.177856445312	0.22
17.5	145.287475585938	0.315
17.75	147.164916992188	0.335
18	149.8828125	0.385
18.25	150.810241699219	0.415
18.5	152.430725097656	0.425
18.75	151.673278808594	0.445
19	156.030883789062	0.46
19.25	150.076293945312	0.39
19.5	153.203125	0.435
19.75	152.077026367188	0.415
20	151.845703125	0.425
20.25	148.576354980469	0.355
20.5	146.215209960938	0.33
20.75	150.948791503906	0.435
21	142.034301757812	0.295
21.25	140.697326660156	0.27
21.5	141.764831542969	0.28
21.75	134.978637695312	0.165
22	134.388427734375	0.165
22.25	134.764099121094	0.185
22.5	130.499572753906	0.115
22.75	129.089965820312	0.09
23	128.355407714844	0.085
23.25	128.6669921875	0.07
23.5	129.581604003906	0.085
23.75	127.142333984375	0.08
24	126.151733398438	0.055
24.25	132.928161621094	0.15
24.5	130.551147460938	0.1
24.75	135.074462890625	0.165
25	134.032287597656	0.145
25.25	133.877868652344	0.13
25.5	137.066040039062	0.18
25.75	134.827880859375	0.16
26	136.0888671875	0.185
26.25	139.108581542969	0.24
26.5	136.33056640625	0.2
26.75	134.783325195312	0.175
27	137.296752929688	0.195
27.25	139.462890625	0.25
27.5	133.02734375	0.15
27.75	137.754821777344	0.185
28	133.064270019531	0.11
28.25	133.740234375	0.145
28.5	129.732666015625	0.11
28.75	132.84423828125	0.125
29	129.460144042969	0.075
29.25	130.306701660156	0.105
29.5	126.319885253906	0.065
29.75	128.079833984375	0.07
30	126.568603515625	0.06
