# waittime_end_set	su_S_North
# "waittime_end"	"su_S_North"
# 21
0	0.676
30	0.648
60	0.654
90	0.681
120	0.672
150	0.635
180	0.651
210	0.668
240	0.659
270	0.638
300	0.677
330	0.674
360	0.701
390	0.695
420	0.68
450	0.689
480	0.679
510	0.687
540	0.639
570	0.668
600	0.69
