# waittime_end_set	su_S_North
# "waittime_end"	"su_S_North"
# 21
0	0.746
30	0.722
60	0.69
90	0.643
120	0.629
150	0.645
180	0.687
210	0.622
240	0.594
270	0.648
300	0.672
330	0.671
360	0.708
390	0.725
420	0.693
450	0.689
480	0.695
510	0.71
540	0.717
570	0.674
600	0.659
