# wait_q2_set	avg_S_North	su_S_North
# "wait_q2"	"avg_S_North"	"su_S_North"
# 121
0	130.103149414062	0.065
0.25	129.660949707031	0.085
0.5	134.662780761719	0.14
0.75	135.479125976562	0.16
1	137.525939941406	0.2
1.25	144.736328125	0.315
1.5	151.853637695312	0.44
1.75	160.764770507812	0.555
2	158.439331054688	0.55
2.25	169.774475097656	0.705
2.5	171.456604003906	0.75
2.75	175.97412109375	0.815
3	179.909973144531	0.875
3.25	185.490417480469	0.935
3.5	182.443237304688	0.9
3.75	182.5537109375	0.92
4	180.697631835938	0.865
4.25	177.826538085938	0.825
4.5	170.950012207031	0.705
4.75	168.718566894531	0.69
5	162.973022460938	0.6
5.25	160.524597167969	0.55
5.5	154.031677246094	0.445
5.75	146.456604003906	0.34
6	141.179504394531	0.225
6.25	139.001770019531	0.205
6.5	132.259521484375	0.095
6.75	133.093872070312	0.09
7	132.431030273438	0.105
7.25	131.729125976562	0.08
7.5	132.974243164062	0.125
7.75	136.114501953125	0.16
8	144.406127929688	0.295
8.25	143.505554199219	0.29
8.5	153.852844238281	0.45
8.75	155.994262695312	0.485
9	161.552124023438	0.56
9.25	166.5478515625	0.68
9.5	172.599182128906	0.765
9.75	176.460266113281	0.84
10	177.551574707031	0.845
10.25	179.836730957031	0.885
10.5	181.978759765625	0.9
10.75	182.4072265625	0.91
11	177.193603515625	0.85
11.25	180.061645507812	0.87
11.5	172.056579589844	0.77
11.75	168.439636230469	0.695
12	163.80859375	0.62
12.25	157.003173828125	0.515
12.5	149.466857910156	0.395
12.75	145.401916503906	0.295
13	142.542419433594	0.26
13.25	136.852416992188	0.17
13.5	137.443237304688	0.155
13.75	132.366333007812	0.115
14	132.921447753906	0.13
14.25	131.592712402344	0.115
14.5	129.119873046875	0.07
14.75	134.284362792969	0.145
15	140.754699707031	0.225
15.25	147.747802734375	0.33
15.5	147.740783691406	0.345
15.75	158.5205078125	0.515
16	160.554504394531	0.56
16.25	167.962036132812	0.675
16.5	171.998901367188	0.745
16.75	174.072265625	0.795
17	179.326171875	0.865
17.25	179.559936523438	0.885
17.5	183.729553222656	0.925
17.75	178.356628417969	0.875
18	180.140075683594	0.9
18.25	179.622497558594	0.86
18.5	171.498413085938	0.735
18.75	167.685241699219	0.67
19	160.405578613281	0.56
19.25	158.69873046875	0.495
19.5	149.429016113281	0.36
19.75	148.181762695312	0.35
20	146.736450195312	0.34
20.25	140.740661621094	0.24
20.5	132.813110351562	0.14
20.75	133.683166503906	0.13
21	132.005310058594	0.095
21.25	134.081420898438	0.12
21.5	131.766967773438	0.095
21.75	135.216064453125	0.155
22	141.620788574219	0.24
22.25	146.271057128906	0.325
22.5	153.768310546875	0.45
22.75	153.490600585938	0.445
23	161.126403808594	0.575
23.25	169.715270996094	0.695
23.5	173.187255859375	0.75
23.75	177.651062011719	0.83
24	178.650207519531	0.855
24.25	179.94384765625	0.9
24.5	184.671936035156	0.935
24.75	182.311401367188	0.925
25	180.495910644531	0.895
25.25	178.490600585938	0.87
25.5	174.192199707031	0.795
25.75	168.887023925781	0.71
26	163.937377929688	0.625
26.25	162.285461425781	0.59
26.5	165.078125	0.615
26.75	149.563293457031	0.395
27	139.916381835938	0.245
27.25	140.573425292969	0.235
27.5	133.834228515625	0.155
27.75	131.548767089844	0.11
28	128.060302734375	0.045
28.25	129.726867675781	0.09
28.5	130.250549316406	0.095
28.75	133.559875488281	0.145
29	137.331848144531	0.21
29.25	144.486389160156	0.325
29.5	151.018371582031	0.415
29.75	155.230407714844	0.465
30	156.647338867188	0.49
