# t_pulse_set	su_S_North
# "t_pulse"	"su_S_North"
# 21
18	0.363333333333333
18.5	0.46
19	0.633333333333333
19.5	0.69
20	0.843333333333333
20.5	0.876666666666667
21	0.94
21.5	0.886666666666667
22	0.87
22.5	0.86
23	0.71
23.5	0.62
24	0.436666666666667
24.5	0.386666666666667
25	0.253333333333333
25.5	0.18
26	0.113333333333333
26.5	0.12
27	0.133333333333333
27.5	0.193333333333333
28	0.25
