# wait_q2_set	avg_S_North	su_S_North
# "wait_q2"	"avg_S_North"	"su_S_North"
# 121
0	144.028625488281	0.265
0.25	145.437316894531	0.27
0.5	139.600830078125	0.18
0.75	136.842346191406	0.17
1	133.179016113281	0.1
1.25	130.941772460938	0.07
1.5	131.03759765625	0.09
1.75	134.798583984375	0.14
2	138.727722167969	0.185
2.25	144.324951171875	0.245
2.5	146.200866699219	0.285
2.75	150.208740234375	0.405
3	155.105895996094	0.465
3.25	159.857482910156	0.54
3.5	166.403503417969	0.63
3.75	171.751098632812	0.73
4	175.351867675781	0.78
4.25	179.504089355469	0.845
4.5	181.307373046875	0.88
4.75	181.770935058594	0.88
5	183.713684082031	0.905
5.25	180.833740234375	0.88
5.5	182.88818359375	0.9
5.75	177.341918945312	0.82
6	173.664245605469	0.755
6.25	171.149597167969	0.72
6.5	165.866394042969	0.64
6.75	159.578857421875	0.525
7	151.474609375	0.405
7.25	148.137512207031	0.35
7.5	145.630187988281	0.29
7.75	141.710510253906	0.23
8	136.532287597656	0.145
8.25	137.088623046875	0.14
8.5	134.254150390625	0.12
8.75	133.095397949219	0.1
9	133.696594238281	0.115
9.25	135.563049316406	0.115
9.5	138.05908203125	0.195
9.75	143.893127441406	0.26
10	145.247802734375	0.29
10.25	152.582702636719	0.405
10.5	151.463623046875	0.39
10.75	153.638000488281	0.45
11	161.049499511719	0.56
11.25	163.412780761719	0.575
11.5	166.2890625	0.615
11.75	169.432067871094	0.68
12	169.249877929688	0.67
12.25	171.383056640625	0.7
12.5	162.74658203125	0.605
12.75	167.183532714844	0.655
13	165.764770507812	0.61
13.25	159.944458007812	0.52
13.5	154.478454589844	0.425
13.75	147.889404296875	0.35
14	144.650573730469	0.28
14.25	143.657836914062	0.25
14.5	137.733764648438	0.205
14.75	134.901428222656	0.11
15	131.61376953125	0.095
15.25	132.63427734375	0.095
15.5	131.016235351562	0.09
15.75	134.482421875	0.125
16	133.418884277344	0.15
16.25	135.38818359375	0.185
16.5	141.254272460938	0.255
16.75	144.563293457031	0.33
17	151.918029785156	0.44
17.25	157.632141113281	0.535
17.5	164.397583007812	0.6
17.75	169.608459472656	0.69
18	173.567199707031	0.77
18.25	172.076416015625	0.76
18.5	180.745849609375	0.865
18.75	181.746826171875	0.915
19	185.271911621094	0.95
19.25	180.219116210938	0.9
19.5	177.770690917969	0.86
19.75	180.573425292969	0.885
20	178.585510253906	0.85
20.25	170.063171386719	0.74
20.5	164.303283691406	0.62
20.75	160.514526367188	0.555
21	158.660278320312	0.53
21.25	150.84228515625	0.395
21.5	147.094421386719	0.345
21.75	141.701354980469	0.24
22	139.127807617188	0.215
22.25	133.4033203125	0.125
22.5	131.682434082031	0.085
22.75	128.747253417969	0.05
23	134.022521972656	0.145
23.25	134.410400390625	0.12
23.5	134.826965332031	0.13
23.75	140.014953613281	0.225
24	139.240112304688	0.24
24.25	143.227233886719	0.29
24.5	156.80908203125	0.48
24.75	155.180053710938	0.465
25	161.011657714844	0.555
25.25	159.615173339844	0.56
25.5	167.358703613281	0.685
25.75	170.821838378906	0.71
26	172.942810058594	0.77
26.25	165.89111328125	0.64
26.5	164.822387695312	0.645
26.75	163.106994628906	0.615
27	158.211669921875	0.545
27.25	154.412841796875	0.525
27.5	151.185913085938	0.445
27.75	150.137329101562	0.415
28	144.926452636719	0.33
28.25	145.367126464844	0.32
28.5	138.193969726562	0.23
28.75	131.23779296875	0.11
29	134.473266601562	0.155
29.25	132.800598144531	0.115
29.5	129.937438964844	0.06
29.75	132.503662109375	0.13
30	131.667785644531	0.135
