# wait_q1_set	su_S_North
# "wait_q1"	"su_S_North"
# 101
0	0.181666666666667
0.6	0.175
1.2	0.12
1.8	0.115
2.4	0.108333333333333
3	0.101666666666667
3.6	0.0783333333333333
4.2	0.0716666666666667
4.8	0.0983333333333333
5.4	0.0916666666666667
6	0.095
6.6	0.0866666666666667
7.2	0.0516666666666667
7.8	0.0716666666666667
8.4	0.0716666666666667
9	0.075
9.6	0.0883333333333333
10.2	0.07
10.8	0.0616666666666667
11.4	0.0683333333333333
12	0.0816666666666667
12.6	0.113333333333333
13.2	0.145
13.8	0.165
14.4	0.205
15	0.225
15.6	0.29
16.2	0.328333333333333
16.8	0.38
17.4	0.435
18	0.485
18.6	0.551666666666667
19.2	0.586666666666667
19.8	0.585
20.4	0.65
21	0.685
21.6	0.651666666666667
22.2	0.716666666666667
22.8	0.651666666666667
23.4	0.653333333333333
24	0.616666666666667
24.6	0.596666666666667
25.2	0.598333333333333
25.8	0.46
26.4	0.461666666666667
27	0.373333333333333
27.6	0.373333333333333
28.2	0.325
28.8	0.235
29.4	0.195
30	0.151666666666667
30.6	0.115
31.2	0.146666666666667
31.8	0.111666666666667
32.4	0.0866666666666667
33	0.0866666666666667
33.6	0.06
34.2	0.0766666666666667
34.8	0.0783333333333333
35.4	0.065
36	0.0983333333333333
36.6	0.0733333333333333
37.2	0.0716666666666667
37.8	0.0566666666666667
38.4	0.0783333333333333
39	0.0683333333333333
39.6	0.075
40.2	0.07
40.8	0.0916666666666667
41.4	0.0983333333333333
42	0.128333333333333
42.6	0.131666666666667
43.2	0.158333333333333
43.8	0.175
44.4	0.215
45	0.271666666666667
45.6	0.33
46.2	0.343333333333333
46.8	0.425
47.4	0.448333333333333
48	0.508333333333333
48.6	0.578333333333333
49.2	0.593333333333333
49.8	0.646666666666667
50.4	0.646666666666667
51	0.671666666666667
51.6	0.66
52.2	0.655
52.8	0.63
53.4	0.641666666666667
54	0.565
54.6	0.546666666666667
55.2	0.505
55.8	0.46
56.4	0.441666666666667
57	0.378333333333333
57.6	0.336666666666667
58.2	0.305
58.8	0.238333333333333
59.4	0.191666666666667
60	0.163333333333333
