# wait_q1_set	su_S_North
# "wait_q1"	"su_S_North"
# 101
0	0.391666666666667
0.6	0.406666666666667
1.2	0.358333333333333
1.8	0.38
2.4	0.378333333333333
3	0.388333333333333
3.6	0.361666666666667
4.2	0.36
4.8	0.306666666666667
5.4	0.295
6	0.248333333333333
6.6	0.246666666666667
7.2	0.185
7.8	0.183333333333333
8.4	0.135
9	0.143333333333333
9.6	0.145
10.2	0.131666666666667
10.8	0.148333333333333
11.4	0.151666666666667
12	0.0866666666666667
12.6	0.09
13.2	0.095
13.8	0.0833333333333333
14.4	0.0766666666666667
15	0.08
15.6	0.0983333333333333
16.2	0.07
16.8	0.0716666666666667
17.4	0.095
18	0.116666666666667
18.6	0.1
19.2	0.12
19.8	0.108333333333333
20.4	0.116666666666667
21	0.158333333333333
21.6	0.135
22.2	0.186666666666667
22.8	0.221666666666667
23.4	0.256666666666667
24	0.28
24.6	0.273333333333333
25.2	0.335
25.8	0.365
26.4	0.401666666666667
27	0.435
27.6	0.458333333333333
28.2	0.478333333333333
28.8	0.473333333333333
29.4	0.461666666666667
30	0.476666666666667
30.6	0.476666666666667
31.2	0.423333333333333
31.8	0.451666666666667
32.4	0.406666666666667
33	0.403333333333333
33.6	0.365
34.2	0.338333333333333
34.8	0.321666666666667
35.4	0.263333333333333
36	0.206666666666667
36.6	0.21
37.2	0.186666666666667
37.8	0.16
38.4	0.103333333333333
39	0.12
39.6	0.106666666666667
40.2	0.1
40.8	0.0983333333333333
41.4	0.0933333333333333
42	0.105
42.6	0.0933333333333333
43.2	0.09
43.8	0.085
44.4	0.07
45	0.0966666666666667
45.6	0.0883333333333333
46.2	0.0716666666666667
46.8	0.0783333333333333
47.4	0.0683333333333333
48	0.136666666666667
48.6	0.11
49.2	0.11
49.8	0.128333333333333
50.4	0.136666666666667
51	0.181666666666667
51.6	0.168333333333333
52.2	0.201666666666667
52.8	0.193333333333333
53.4	0.216666666666667
54	0.288333333333333
54.6	0.35
55.2	0.375
55.8	0.373333333333333
56.4	0.396666666666667
57	0.433333333333333
57.6	0.46
58.2	0.471666666666667
58.8	0.463333333333333
59.4	0.481666666666667
60	0.473333333333333
