# waittime_set	su_S_North
# "waittime"	"su_S_North"
# 51
0	0.786666666666667
160	0.93
320	0.96
480	0.956666666666667
640	0.96
800	0.93
960	0.936666666666667
1120	0.966666666666667
1280	0.94
1440	0.926666666666667
1600	0.94
1760	0.953333333333333
1920	0.93
2080	0.916666666666667
2240	0.913333333333333
2400	0.89
2560	0.93
2720	0.89
2880	0.87
3040	0.886666666666667
3200	0.85
3360	0.86
3520	0.836666666666667
3680	0.82
3840	0.733333333333333
4000	0.81
4160	0.773333333333333
4320	0.753333333333333
4480	0.746666666666667
4640	0.66
4800	0.69
4960	0.6
5120	0.556666666666667
5280	0.593333333333333
5440	0.493333333333333
5600	0.526666666666667
5760	0.573333333333333
5920	0.55
6080	0.533333333333333
6240	0.566666666666667
6400	0.516666666666667
6560	0.516666666666667
6720	0.55
6880	0.533333333333333
7040	0.526666666666667
7200	0.56
7360	0.54
7520	0.556666666666667
7680	0.536666666666667
7840	0.566666666666667
8000	0.56
