# waittime_end_set	su_S_North
# "waittime_end"	"su_S_North"
# 21
0	0.8
30	0.771
60	0.755
90	0.697
120	0.636
150	0.677
180	0.674
210	0.683
240	0.64
270	0.692
300	0.605
330	0.638
360	0.728
390	0.753
420	0.805
450	0.77
480	0.731
510	0.66
540	0.624
570	0.607
600	0.575
