# wait_q1_set	su_S_North
# "wait_q1"	"su_S_North"
# 101
0	0.105
0.6	0.08
1.2	0.103333333333333
1.8	0.0883333333333333
2.4	0.101666666666667
3	0.101666666666667
3.6	0.105
4.2	0.106666666666667
4.8	0.0983333333333333
5.4	0.105
6	0.105
6.6	0.121666666666667
7.2	0.0816666666666667
7.8	0.0933333333333333
8.4	0.0916666666666667
9	0.108333333333333
9.6	0.08
10.2	0.14
10.8	0.148333333333333
11.4	0.153333333333333
12	0.18
12.6	0.233333333333333
13.2	0.273333333333333
13.8	0.385
14.4	0.43
15	0.476666666666667
15.6	0.571666666666667
16.2	0.61
16.8	0.705
17.4	0.735
18	0.76
18.6	0.798333333333333
19.2	0.83
19.8	0.855
20.4	0.831666666666667
21	0.806666666666667
21.6	0.803333333333333
22.2	0.753333333333333
22.8	0.69
23.4	0.616666666666667
24	0.578333333333333
24.6	0.486666666666667
25.2	0.423333333333333
25.8	0.345
26.4	0.328333333333333
27	0.26
27.6	0.17
28.2	0.175
28.8	0.143333333333333
29.4	0.116666666666667
30	0.09
30.6	0.0883333333333333
31.2	0.09
31.8	0.08
32.4	0.085
33	0.0983333333333333
33.6	0.12
34.2	0.106666666666667
34.8	0.103333333333333
35.4	0.146666666666667
36	0.121666666666667
36.6	0.1
37.2	0.075
37.8	0.1
38.4	0.106666666666667
39	0.0783333333333333
39.6	0.12
40.2	0.148333333333333
40.8	0.153333333333333
41.4	0.16
42	0.245
42.6	0.311666666666667
43.2	0.378333333333333
43.8	0.406666666666667
44.4	0.451666666666667
45	0.546666666666667
45.6	0.628333333333333
46.2	0.676666666666667
46.8	0.726666666666667
47.4	0.776666666666667
48	0.821666666666667
48.6	0.833333333333333
49.2	0.835
49.8	0.828333333333333
50.4	0.833333333333333
51	0.788333333333333
51.6	0.756666666666667
52.2	0.675
52.8	0.608333333333333
53.4	0.56
54	0.505
54.6	0.443333333333333
55.2	0.36
55.8	0.298333333333333
56.4	0.2
57	0.203333333333333
57.6	0.156666666666667
58.2	0.146666666666667
58.8	0.128333333333333
59.4	0.0933333333333333
60	0.085
