# waittime_set	su_S_North
# "waittime"	"su_S_North"
# 51
0	0.913333333333333
2122	0.9
4244	0.883333333333333
6366	0.83
8488	0.77
10610	0.72
12732	0.673333333333333
14854	0.67
16976	0.636666666666667
19098	0.633333333333333
21220	0.686666666666667
23342	0.586666666666667
25464	0.673333333333333
27586	0.6
29708	0.6
31830	0.55
33952	0.58
36074	0.583333333333333
38196	0.5
40318	0.536666666666667
42440	0.496666666666667
44562	0.513333333333333
46684	0.596666666666667
48806	0.51
50928	0.57
53050	0.506666666666667
55172	0.57
57294	0.556666666666667
59416	0.553333333333333
61538	0.526666666666667
63660	0.54
65782	0.53
67904	0.563333333333333
70026	0.52
72148	0.536666666666667
74270	0.54
76392	0.526666666666667
78514	0.5
80636	0.51
82758	0.54
84880	0.513333333333333
87002	0.496666666666667
89124	0.483333333333333
91246	0.553333333333333
93368	0.546666666666667
95490	0.533333333333333
97612	0.5
99734	0.496666666666667
101856	0.523333333333333
103978	0.516666666666667
106100	0.506666666666667
