# t_cz_set	su_S_North
# "t_cz"	"su_S_North"
# 98
0	0.146666666666667
20.4	0.2
40.8	0.203333333333333
61.2	0.266666666666667
81.6	0.266666666666667
102	0.396666666666667
122.4	0.413333333333333
142.8	0.436666666666667
163.2	0.536666666666667
183.6	0.576666666666667
204	0.53
224.4	0.663333333333333
244.8	0.646666666666667
265.2	0.753333333333333
285.6	0.773333333333333
306	0.776666666666667
326.4	0.81
346.8	0.806666666666667
367.2	0.813333333333333
387.6	0.813333333333333
408	0.773333333333333
428.4	0.77
448.8	0.683333333333333
469.2	0.676666666666667
489.6	0.636666666666667
510	0.57
530.4	0.59
550.8	0.59
571.2	0.443333333333333
591.6	0.436666666666667
612	0.42
632.4	0.42
652.8	0.28
673.2	0.306666666666667
693.6	0.286666666666667
714	0.246666666666667
734.4	0.313333333333333
754.8	0.296666666666667
775.2	0.276666666666667
795.6	0.353333333333333
816	0.413333333333333
836.4	0.506666666666667
856.8	0.556666666666667
877.2	0.543333333333333
897.6	0.58
918	0.606666666666667
938.4	0.616666666666667
958.8	0.743333333333333
979.2	0.8
999.6	0.756666666666667
1020	0.786666666666667
1040.4	0.746666666666667
1060.8	0.763333333333333
1081.2	0.746666666666667
1101.6	0.746666666666667
1122	0.77
1142.4	0.723333333333333
1162.8	0.693333333333333
1183.2	0.62
1203.6	0.71
1224	0.61
1244.4	0.64
1264.8	0.536666666666667
1285.2	0.556666666666667
1305.6	0.373333333333333
1326	0.343333333333333
1346.4	0.33
1366.8	0.413333333333333
1387.2	0.403333333333333
1407.6	0.48
1428	0.486666666666667
1448.4	0.39
1468.8	0.366666666666667
1489.2	0.376666666666667
1509.6	0.353333333333333
1530	0.386666666666667
1550.4	0.383333333333333
1570.8	0.513333333333333
1591.2	0.443333333333333
1611.6	0.593333333333333
1632	0.543333333333333
1652.4	0.433333333333333
1672.8	0.61
1693.2	0.633333333333333
1713.6	0.63
1734	0.69
1754.4	0.68
1774.8	0.713333333333333
1795.2	0.683333333333333
1815.6	0.673333333333333
1836	0.586666666666667
1856.4	0.566666666666667
1876.8	0.653333333333333
1897.2	0.66
1917.6	0.686666666666667
1938	0.593333333333333
1958.4	0.64
1978.8	0.62
