# waittime_set	su00	su01	su10	su11	su_trig0	su_trig1
# "waittime"	"su00"	"su01"	"su10"	"su11"	"su_trig0"	"su_trig1"
# 51
0	0.12875	0.035	0.715	0.12125	0.83625	0.15625
3000	0.10875	0.0325	0.74375	0.115	0.85875	0.1475
6000	0.1575	0.0525	0.6675	0.1225	0.79	0.175
9000	0.18375	0.07	0.63875	0.1075	0.74625	0.1775
12000	0.20625	0.06375	0.6175	0.1125	0.73	0.17625
15000	0.2375	0.0575	0.6025	0.1025	0.705	0.16
18000	0.23625	0.045	0.595	0.12375	0.71875	0.16875
21000	0.26375	0.065	0.55875	0.1125	0.67125	0.1775
24000	0.27125	0.0575	0.56	0.11125	0.67125	0.16875
27000	0.265	0.06	0.555	0.12	0.675	0.18
30000	0.26875	0.06	0.5675	0.10375	0.67125	0.16375
33000	0.235	0.06625	0.5925	0.10625	0.69875	0.1725
36000	0.28875	0.05625	0.5525	0.1025	0.655	0.15875
39000	0.30625	0.05875	0.545	0.09	0.635	0.14875
42000	0.29875	0.05	0.56875	0.0825	0.65125	0.1325
45000	0.3325	0.06	0.51	0.0975	0.6075	0.1575
48000	0.32625	0.04125	0.53875	0.09375	0.6325	0.135
51000	0.32875	0.055	0.52125	0.095	0.61625	0.15
54000	0.3325	0.04125	0.54375	0.0825	0.62625	0.12375
57000	0.33875	0.0575	0.51	0.09375	0.60375	0.15125
60000	0.36	0.04125	0.5125	0.08625	0.59875	0.1275
63000	0.315	0.0675	0.51125	0.10625	0.6175	0.17375
66000	0.36375	0.04875	0.50625	0.08125	0.5875	0.13
69000	0.34375	0.07125	0.4975	0.0875	0.585	0.15875
72000	0.32875	0.08	0.49875	0.0925	0.59125	0.1725
75000	0.3625	0.06875	0.47625	0.0925	0.56875	0.16125
78000	0.37125	0.05875	0.47125	0.09875	0.57	0.1575
81000	0.3675	0.075	0.4625	0.095	0.5575	0.17
84000	0.3925	0.07	0.4525	0.085	0.5375	0.155
87000	0.40125	0.06	0.45	0.08875	0.53875	0.14875
90000	0.41375	0.065	0.40375	0.1175	0.52125	0.1825
93000	0.4225	0.06375	0.4275	0.08625	0.51375	0.15
96000	0.43	0.0625	0.425	0.0825	0.5075	0.145
99000	0.41625	0.07625	0.40375	0.10375	0.5075	0.18
102000	0.41125	0.06625	0.445	0.0775	0.5225	0.14375
105000	0.41375	0.0525	0.4475	0.08625	0.53375	0.13875
108000	0.4075	0.07125	0.44375	0.0775	0.52125	0.14875
111000	0.4175	0.0825	0.42625	0.07375	0.5	0.15625
114000	0.4625	0.07375	0.37875	0.085	0.46375	0.15875
117000	0.43125	0.07625	0.41	0.0825	0.4925	0.15875
120000	0.4075	0.0675	0.43125	0.09375	0.525	0.16125
123000	0.42625	0.0625	0.42	0.09125	0.51125	0.15375
126000	0.4075	0.06875	0.43875	0.085	0.52375	0.15375
129000	0.44625	0.07	0.405	0.07875	0.48375	0.14875
132000	0.4475	0.08125	0.40125	0.07	0.47125	0.15125
135000	0.39	0.07375	0.4575	0.07875	0.53625	0.1525
138000	0.44125	0.07	0.42	0.06875	0.48875	0.13875
141000	0.4125	0.0575	0.44125	0.08875	0.53	0.14625
144000	0.4475	0.055	0.41	0.0875	0.4975	0.1425
147000	0.41625	0.07875	0.41	0.095	0.505	0.17375
150000	0.40875	0.0525	0.4525	0.08625	0.53875	0.13875
