# waittime_set	su00	su01	su10	su11	su_trig0	su_trig1
# "waittime"	"su00"	"su01"	"su10"	"su11"	"su_trig0"	"su_trig1"
# 51
0	0.1675	0.4725	0.20375	0.15625	0.36	0.62875
2000	0.1225	0.555	0.18125	0.14125	0.3225	0.69625
4000	0.14125	0.5175	0.1825	0.15875	0.34125	0.67625
6000	0.1525	0.51375	0.18375	0.15	0.33375	0.66375
8000	0.2075	0.47625	0.18875	0.1275	0.31625	0.60375
10000	0.2475	0.45	0.17125	0.13125	0.3025	0.58125
12000	0.2775	0.4075	0.19125	0.12375	0.315	0.53125
14000	0.28625	0.3875	0.18	0.14625	0.32625	0.53375
16000	0.2775	0.40875	0.195	0.11875	0.31375	0.5275
18000	0.3725	0.34625	0.1725	0.10875	0.28125	0.455
20000	0.36375	0.37625	0.15125	0.10875	0.26	0.485
22000	0.37625	0.32375	0.195	0.105	0.3	0.42875
24000	0.38625	0.3575	0.155	0.10125	0.25625	0.45875
26000	0.35	0.37375	0.18	0.09625	0.27625	0.47
28000	0.36625	0.36625	0.16875	0.09875	0.2675	0.465
30000	0.3675	0.3825	0.16	0.09	0.25	0.4725
32000	0.36875	0.38	0.15	0.10125	0.25125	0.48125
34000	0.36125	0.35375	0.155	0.13	0.285	0.48375
36000	0.34875	0.3575	0.18375	0.11	0.29375	0.4675
38000	0.38375	0.35625	0.14875	0.11125	0.26	0.4675
40000	0.3475	0.41125	0.1425	0.09875	0.24125	0.51
42000	0.375	0.3625	0.16625	0.09625	0.2625	0.45875
44000	0.43125	0.3375	0.14125	0.09	0.23125	0.4275
46000	0.3925	0.3475	0.14	0.12	0.26	0.4675
48000	0.41125	0.3175	0.1575	0.11375	0.27125	0.43125
50000	0.39875	0.33875	0.155	0.1075	0.2625	0.44625
52000	0.37875	0.34	0.1575	0.12375	0.28125	0.46375
54000	0.4	0.33125	0.15625	0.1125	0.26875	0.44375
56000	0.41875	0.3275	0.14625	0.1075	0.25375	0.435
58000	0.41	0.3125	0.1625	0.115	0.2775	0.4275
60000	0.39875	0.31	0.16375	0.1275	0.29125	0.4375
62000	0.4275	0.2875	0.15125	0.13375	0.285	0.42125
64000	0.42	0.32	0.14125	0.11875	0.26	0.43875
66000	0.44125	0.31625	0.14625	0.09625	0.2425	0.4125
68000	0.41125	0.33	0.15125	0.1075	0.25875	0.4375
70000	0.4025	0.30875	0.155	0.13375	0.28875	0.4425
72000	0.43375	0.30625	0.155	0.105	0.26	0.41125
74000	0.42625	0.28	0.1775	0.11625	0.29375	0.39625
76000	0.43125	0.30875	0.145	0.115	0.26	0.42375
78000	0.445	0.3125	0.1225	0.12	0.2425	0.4325
80000	0.425	0.34875	0.14	0.08625	0.22625	0.435
82000	0.43625	0.2975	0.1575	0.10875	0.26625	0.40625
84000	0.435	0.3325	0.13375	0.09875	0.2325	0.43125
86000	0.4175	0.3125	0.1575	0.1125	0.27	0.425
88000	0.4275	0.2875	0.17125	0.11375	0.285	0.40125
90000	0.425	0.28375	0.17125	0.12	0.29125	0.40375
92000	0.44125	0.29125	0.155	0.1125	0.2675	0.40375
94000	0.42125	0.3225	0.15	0.10625	0.25625	0.42875
96000	0.4375	0.26375	0.17875	0.12	0.29875	0.38375
98000	0.39125	0.31125	0.1775	0.12	0.2975	0.43125
100000	0.40375	0.2975	0.16	0.13875	0.29875	0.43625
