# waittime_set	su00	su01	su10	su11	su_trig0	su_trig1
# "waittime"	"su00"	"su01"	"su10"	"su11"	"su_trig0"	"su_trig1"
# 101
0	0.109	0.0425	0.732	0.1165	0.8485	0.159
1000	0.1125	0.0395	0.733	0.115	0.848	0.1545
2000	0.1115	0.0495	0.7235	0.1155	0.839	0.165
3000	0.121	0.04	0.7315	0.1075	0.839	0.1475
4000	0.128	0.033	0.722	0.117	0.839	0.15
5000	0.131	0.0415	0.7225	0.105	0.8275	0.1465
6000	0.182	0.0405	0.6805	0.097	0.7775	0.1375
7000	0.22	0.0485	0.641	0.0905	0.7315	0.139
8000	0.265	0.0595	0.575	0.1005	0.6755	0.16
9000	0.286	0.053	0.5625	0.0985	0.661	0.1515
10000	0.3045	0.0545	0.549	0.092	0.641	0.1465
11000	0.3225	0.055	0.529	0.0935	0.6225	0.1485
12000	0.327	0.0525	0.53	0.0905	0.6205	0.143
13000	0.3205	0.056	0.5275	0.096	0.6235	0.152
14000	0.3055	0.056	0.5525	0.086	0.6385	0.142
15000	0.321	0.064	0.5235	0.0915	0.615	0.1555
16000	0.3205	0.0755	0.5145	0.0895	0.604	0.165
17000	0.338	0.0565	0.5135	0.092	0.6055	0.1485
18000	0.3265	0.0545	0.5315	0.0875	0.619	0.142
19000	0.328	0.0665	0.5115	0.094	0.6055	0.1605
20000	0.3305	0.07	0.5	0.0995	0.5995	0.1695
21000	0.329	0.056	0.5295	0.0855	0.615	0.1415
22000	0.3155	0.0705	0.516	0.098	0.614	0.1685
23000	0.323	0.0555	0.527	0.0945	0.6215	0.15
24000	0.316	0.0595	0.5345	0.09	0.6245	0.1495
25000	0.3135	0.058	0.5415	0.087	0.6285	0.145
26000	0.3375	0.0535	0.53	0.079	0.609	0.1325
27000	0.3235	0.058	0.5285	0.09	0.6185	0.148
28000	0.328	0.045	0.535	0.092	0.627	0.137
29000	0.3425	0.0505	0.522	0.085	0.607	0.1355
30000	0.331	0.055	0.5205	0.0935	0.614	0.1485
31000	0.3275	0.0545	0.529	0.089	0.618	0.1435
32000	0.3245	0.0525	0.5355	0.0875	0.623	0.14
33000	0.34	0.067	0.502	0.091	0.593	0.158
34000	0.395	0.0645	0.4595	0.081	0.5405	0.1455
35000	0.3785	0.0605	0.4705	0.0905	0.561	0.151
36000	0.3555	0.081	0.4615	0.102	0.5635	0.183
37000	0.402	0.06	0.4475	0.0905	0.538	0.1505
38000	0.3825	0.0725	0.4395	0.1055	0.545	0.178
39000	0.397	0.0685	0.4575	0.077	0.5345	0.1455
40000	0.3895	0.0625	0.452	0.096	0.548	0.1585
41000	0.3755	0.0595	0.4765	0.0885	0.565	0.148
42000	0.371	0.078	0.4665	0.0845	0.551	0.1625
43000	0.39	0.0655	0.449	0.0955	0.5445	0.161
44000	0.374	0.072	0.475	0.079	0.554	0.151
45000	0.3845	0.0785	0.448	0.089	0.537	0.1675
46000	0.3865	0.0615	0.461	0.091	0.552	0.1525
47000	0.383	0.064	0.473	0.08	0.553	0.144
48000	0.3795	0.063	0.4795	0.078	0.5575	0.141
49000	0.3865	0.067	0.473	0.0735	0.5465	0.1405
50000	0.406	0.059	0.439	0.096	0.535	0.155
51000	0.414	0.076	0.4315	0.0785	0.51	0.1545
52000	0.406	0.0695	0.4455	0.079	0.5245	0.1485
53000	0.396	0.074	0.441	0.089	0.53	0.163
54000	0.39	0.0835	0.4375	0.089	0.5265	0.1725
55000	0.395	0.072	0.4495	0.0835	0.533	0.1555
56000	0.3935	0.065	0.4535	0.088	0.5415	0.153
57000	0.393	0.069	0.4485	0.0895	0.538	0.1585
58000	0.4065	0.0705	0.4265	0.0965	0.523	0.167
59000	0.3765	0.0755	0.457	0.091	0.548	0.1665
60000	0.4005	0.0635	0.441	0.095	0.536	0.1585
61000	0.382	0.0755	0.45	0.0925	0.5425	0.168
62000	0.4085	0.074	0.421	0.0965	0.5175	0.1705
63000	0.4125	0.0565	0.443	0.088	0.531	0.1445
64000	0.409	0.073	0.424	0.094	0.518	0.167
65000	0.403	0.065	0.4375	0.0945	0.532	0.1595
66000	0.408	0.067	0.428	0.097	0.525	0.164
67000	0.4185	0.0585	0.434	0.089	0.523	0.1475
68000	0.4125	0.078	0.4255	0.084	0.5095	0.162
69000	0.418	0.075	0.425	0.082	0.507	0.157
70000	0.4075	0.0655	0.4345	0.0925	0.527	0.158
71000	0.4245	0.0675	0.418	0.09	0.508	0.1575
72000	0.4115	0.072	0.421	0.0955	0.5165	0.1675
73000	0.4095	0.058	0.4555	0.077	0.5325	0.135
74000	0.413	0.073	0.4335	0.0805	0.514	0.1535
75000	0.4075	0.0575	0.4515	0.0835	0.535	0.141
76000	0.424	0.0705	0.4075	0.098	0.5055	0.1685
77000	0.428	0.0595	0.416	0.0965	0.5125	0.156
78000	0.39	0.0635	0.4695	0.077	0.5465	0.1405
79000	0.406	0.066	0.441	0.087	0.528	0.153
80000	0.4005	0.0635	0.455	0.081	0.536	0.1445
81000	0.4155	0.072	0.4225	0.09	0.5125	0.162
82000	0.3785	0.065	0.4585	0.098	0.5565	0.163
83000	0.411	0.074	0.4255	0.0895	0.515	0.1635
84000	0.415	0.0765	0.417	0.0915	0.5085	0.168
85000	0.4185	0.0755	0.411	0.095	0.506	0.1705
86000	0.429	0.0685	0.4205	0.082	0.5025	0.1505
87000	0.417	0.0775	0.4025	0.103	0.5055	0.1805
88000	0.424	0.069	0.418	0.089	0.507	0.158
89000	0.426	0.082	0.4025	0.0895	0.492	0.1715
90000	0.4325	0.0785	0.405	0.084	0.489	0.1625
91000	0.439	0.0785	0.3885	0.094	0.4825	0.1725
92000	0.4275	0.07	0.4215	0.081	0.5025	0.151
93000	0.436	0.066	0.412	0.086	0.498	0.152
