# waittime_set	su00	su01	su10	su11	su_trig0	su_trig1
# "waittime"	"su00"	"su01"	"su10"	"su11"	"su_trig0"	"su_trig1"
# 51
0	0.115	0.03125	0.72	0.13375	0.85375	0.165
240	0.1	0.0825	0.705	0.1125	0.8175	0.195
480	0.11	0.0425	0.715	0.1325	0.8475	0.175
720	0.105	0.03375	0.74125	0.12	0.86125	0.15375
960	0.11	0.04625	0.71625	0.1275	0.84375	0.17375
1200	0.125	0.06125	0.70375	0.11	0.81375	0.17125
1440	0.10875	0.04875	0.66625	0.17625	0.8425	0.225
1680	0.13	0.0475	0.705	0.1175	0.8225	0.165
1920	0.1275	0.0725	0.6725	0.1275	0.8	0.2
2160	0.13875	0.04375	0.69125	0.12625	0.8175	0.17
2400	0.12625	0.04625	0.71375	0.11375	0.8275	0.16
2640	0.14375	0.05625	0.67125	0.12875	0.8	0.185
2880	0.15125	0.0475	0.68	0.12125	0.80125	0.16875
3120	0.175	0.05	0.64375	0.13125	0.775	0.18125
3360	0.20375	0.06	0.60625	0.13	0.73625	0.19
3600	0.25875	0.0625	0.58	0.09875	0.67875	0.16125
3840	0.22	0.06625	0.565	0.14875	0.71375	0.215
4080	0.20625	0.06	0.58625	0.1475	0.73375	0.2075
4320	0.25875	0.05875	0.53	0.1525	0.6825	0.21125
4560	0.29125	0.04875	0.53375	0.12625	0.66	0.175
4800	0.31875	0.05875	0.50125	0.12125	0.6225	0.18
5040	0.345	0.08625	0.45125	0.1175	0.56875	0.20375
5280	0.37	0.07125	0.455	0.10375	0.55875	0.175
5520	0.35875	0.0775	0.44625	0.1175	0.56375	0.195
5760	0.42125	0.0675	0.41125	0.1	0.51125	0.1675
6000	0.42	0.08375	0.38625	0.11	0.49625	0.19375
6240	0.42125	0.08	0.4	0.09875	0.49875	0.17875
6480	0.3975	0.085	0.40875	0.10875	0.5175	0.19375
6720	0.4325	0.07125	0.38375	0.1125	0.49625	0.18375
6960	0.4175	0.085	0.41125	0.08625	0.4975	0.17125
7200	0.44	0.07875	0.375	0.10625	0.48125	0.185
7440	0.40875	0.06625	0.4025	0.1225	0.525	0.18875
7680	0.4125	0.07625	0.4125	0.09875	0.51125	0.175
7920	0.3825	0.09875	0.42375	0.095	0.51875	0.19375
8160	0.4375	0.0825	0.38625	0.09375	0.48	0.17625
8400	0.405	0.08	0.4175	0.0975	0.515	0.1775
8640	0.4175	0.07625	0.4025	0.10375	0.50625	0.18
8880	0.4375	0.0875	0.3725	0.1025	0.475	0.19
9120	0.39625	0.085	0.4075	0.11125	0.51875	0.19625
9360	0.43	0.07	0.4	0.1	0.5	0.17
9600	0.40375	0.07375	0.41625	0.10625	0.5225	0.18
9840	0.39375	0.09	0.4225	0.09375	0.51625	0.18375
10080	0.39875	0.0875	0.4075	0.10625	0.51375	0.19375
10320	0.4	0.0825	0.41375	0.10375	0.5175	0.18625
10560	0.38625	0.07	0.42875	0.115	0.54375	0.185
10800	0.36	0.0775	0.455	0.1075	0.5625	0.185
11040	0.41375	0.085	0.39125	0.11	0.50125	0.195
11280	0.365	0.0875	0.44	0.1075	0.5475	0.195
11520	0.35875	0.06625	0.45125	0.12375	0.575	0.19
11760	0.39625	0.0675	0.42375	0.1125	0.53625	0.18
12000	0.41375	0.085	0.3825	0.11875	0.50125	0.20375
