# t_pulse_set	su_S_North
# "t_pulse"	"su_S_North"
# 21
18	0.896666666666667
18.5	0.77
19	0.703333333333333
19.5	0.566666666666667
20	0.383333333333333
20.5	0.27
21	0.17
21.5	0.13
22	0.14
22.5	0.236666666666667
23	0.34
23.5	0.45
24	0.633333333333333
24.5	0.726666666666667
25	0.82
25.5	0.913333333333333
26	0.906666666666667
26.5	0.846666666666667
27	0.763333333333333
27.5	0.663333333333333
28	0.443333333333333
