# waittime_set	su_S_North
# "waittime"	"su_S_North"
# 51
0	0.946666666666667
244	0.943333333333333
488	0.943333333333333
732	0.966666666666667
976	0.953333333333333
1220	0.943333333333333
1464	0.956666666666667
1708	0.943333333333333
1952	0.936666666666667
2196	0.956666666666667
2440	0.953333333333333
2684	0.96
2928	0.913333333333333
3172	0.913333333333333
3416	0.943333333333333
3660	0.936666666666667
3904	0.89
4148	0.863333333333333
4392	0.87
4636	0.863333333333333
4880	0.826666666666667
5124	0.78
5368	0.71
5612	0.706666666666667
5856	0.66
6100	0.673333333333333
6344	0.643333333333333
6588	0.653333333333333
6832	0.646666666666667
7076	0.656666666666667
7320	0.633333333333333
7564	0.646666666666667
7808	0.64
8052	0.553333333333333
8296	0.576666666666667
8540	0.543333333333333
8784	0.593333333333333
9028	0.53
9272	0.553333333333333
9516	0.59
9760	0.553333333333333
10004	0.586666666666667
10248	0.593333333333333
10492	0.573333333333333
10736	0.59
10980	0.57
11224	0.493333333333333
11468	0.52
11712	0.583333333333333
11956	0.543333333333333
12200	0.583333333333333
