# wait_q2_set	su_S_North
# "wait_q2"	"su_S_North"
# 41
0	0.394
4	0.406
8	0.38
12	0.43
16	0.418
20	0.476
24	0.53
28	0.61
32	0.598
36	0.614
40	0.722
44	0.756
48	0.746
52	0.814
56	0.806
60	0.846
64	0.862
68	0.88
72	0.844
76	0.806
80	0.794
84	0.716
88	0.74
92	0.676
96	0.592
100	0.614
104	0.582
108	0.508
112	0.492
116	0.46
120	0.484
124	0.48
128	0.438
132	0.456
136	0.486
140	0.52
144	0.522
148	0.514
152	0.586
156	0.578
160	0.646
