# waittime_end_set	su_S_North
# "waittime_end"	"su_S_North"
# 21
0	0.675
30	0.67
60	0.69
90	0.704
120	0.669
150	0.677
180	0.694
210	0.68
240	0.691
270	0.68
300	0.663
330	0.684
360	0.685
390	0.69
420	0.686
450	0.684
480	0.682
510	0.691
540	0.652
570	0.665
600	0.657
