# Jon_vpB12_set	t_ramp_set	su00	su01	su10	su11
# "Jon_vpB12"	"t_ramp"	"su00"	"su01"	"su10"	"su11"
# 11	81
-65	12	0.188	0.096	0.674	0.042
-65	12.5	0.242	0.046	0.676	0.036
-65	13	0.128	0.082	0.738	0.052
-65	13.5	0.0839999999999999	0.406	0.46	0.05
-65	14	0.0479999999999999	0.81	0.102	0.04
-65	14.5	0.0619999999999999	0.584	0.31	0.044
-65	15	0.104	0.126	0.7	0.07
-65	15.5	0.122	0.014	0.808	0.056
-65	16	0.0879999999999999	0.062	0.804	0.046
-65	16.5	0.084	0.038	0.826	0.052
-65	17	0.112	0.02	0.802	0.066
-65	17.5	0.108	0.026	0.814	0.052
-65	18	0.104	0.044	0.808	0.044
-65	18.5	0.074	0.026	0.84	0.06
-65	19	0.112	0.016	0.822	0.05
-65	19.5	0.096	0.014	0.83	0.06
-65	20	0.114	0.016	0.834	0.036
-65	20.5	0.114	0.03	0.802	0.054
-65	21	0.124	0.026	0.808	0.042
-65	21.5	0.124	0.016	0.81	0.05
-65	22	0.158	0.016	0.778	0.048
-65	22.5	0.15	0.024	0.786	0.04
-65	23	0.146	0.014	0.784	0.056
-65	23.5	0.112	0.014	0.814	0.06
-65	24	0.114	0.012	0.826	0.048
-65	24.5	0.106	0.006	0.822	0.066
-65	25	0.154	0.016	0.798	0.032
-65	25.5	0.11	0.01	0.822	0.058
-65	26	0.136	0.014	0.812	0.038
-65	26.5	0.108	0.024	0.804	0.064
-65	27	0.136	0.008	0.814	0.042
-65	27.5	0.11	0.022	0.828	0.04
-65	28	0.134	0.02	0.802	0.044
-65	28.5	0.116	0.02	0.814	0.05
-65	29	0.116	0.026	0.812	0.046
-65	29.5	0.126	0.016	0.806	0.052
-65	30	0.124	0.024	0.786	0.066
-65	30.5	0.134	0.018	0.778	0.07
-65	31	0.15	0.034	0.698	0.118
-65	31.5	0.132	0.042	0.672	0.154
-65	32	0.18	0.08	0.542	0.198
-65	32.5	0.168	0.084	0.538	0.21
-65	33	0.158	0.042	0.658	0.142
-65	33.5	0.17	0.044	0.616	0.17
-65	34	0.15	0.032	0.704	0.114
-65	34.5	0.142	0.048	0.692	0.118
-65	35	0.126	0.028	0.78	0.066
-65	35.5	0.142	0.008	0.816	0.034
-65	36	0.138	0.016	0.79	0.056
-65	36.5	0.116	0.028	0.802	0.054
-65	37	0.108	0.02	0.832	0.04
-65	37.5	0.106	0.026	0.814	0.054
-65	38	0.102	0.032	0.83	0.036
-65	38.5	0.098	0.018	0.84	0.044
-65	39	0.116	0.014	0.816	0.054
-65	39.5	0.122	0.008	0.804	0.066
-65	40	0.128	0.016	0.804	0.052
-65	40.5	0.116	0.026	0.816	0.042
-65	41	0.116	0.016	0.812	0.056
-65	41.5	0.146	0.022	0.766	0.066
-65	42	0.138	0.02	0.792	0.05
-65	42.5	0.15	0.016	0.768	0.066
-65	43	0.164	0.022	0.752	0.062
-65	43.5	0.13	0.016	0.804	0.05
-65	44	0.1	0.012	0.826	0.062
-65	44.5	0.104	0.018	0.832	0.046
-65	45	0.116	0.014	0.822	0.048
-65	45.5	0.118	0.014	0.82	0.048
-65	46	0.15	0.016	0.79	0.044
-65	46.5	0.136	0.016	0.778	0.07
-65	47	0.126	0.02	0.806	0.048
-65	47.5	0.15	0.028	0.764	0.058
-65	48	0.138	0.024	0.744	0.094
-65	48.5	0.148	0.034	0.732	0.086
-65	49	0.14	0.012	0.792	0.056
-65	49.5	0.148	0.028	0.762	0.062
-65	50	0.148	0.032	0.75	0.07
-65	50.5	0.114	0.03	0.802	0.054
-65	51	0.108	0.034	0.804	0.054
-65	51.5	0.104	0.022	0.822	0.052
-65	52	0.142	0.024	0.76	0.074

-67	12	0.16	0.14	0.636	0.064
-67	12.5	0.26	0.044	0.642	0.054
-67	13	0.174	0.084	0.716	0.026
-67	13.5	0.092	0.49	0.356	0.062
-67	14	0.0659999999999999	0.868	0.03	0.036
-67	14.5	0.0739999999999998	0.538	0.326	0.062
-67	15	0.116	0.134	0.694	0.056
-67	15.5	0.118	0.03	0.808	0.044
-67	16	0.0979999999999999	0.07	0.798	0.034
-67	16.5	0.124	0.034	0.784	0.058
-67	17	0.142	0.006	0.8	0.052
-67	17.5	0.11	0.038	0.8	0.052
-67	18	0.098	0.022	0.846	0.034
-67	18.5	0.112	0.018	0.824	0.046
-67	19	0.112	0.006	0.832	0.05
-67	19.5	0.132	0.02	0.8	0.048
