# t_cz_set	avg_S_North	su_S_North
# "t_cz"	"avg_S_North"	"su_S_North"
# 101
0	169.109293619792	0.783333333333333
39	168.087361653646	0.756666666666667
78	161.48681640625	0.676666666666667
117	160.335489908854	0.656666666666667
156	152.023518880208	0.536666666666667
195	154.950358072917	0.57
234	153.777669270833	0.57
273	142.228597005208	0.39
312	142.384236653646	0.416666666666667
351	140.058186848958	0.383333333333333
390	138.651326497396	0.366666666666667
429	133.780924479167	0.293333333333333
468	133.2958984375	0.283333333333333
507	132.03857421875	0.27
546	127.383422851562	0.18
585	129.730021158854	0.206666666666667
624	131.973876953125	0.24
663	128.176879882812	0.17
702	126.726888020833	0.166666666666667
741	126.858927408854	0.156666666666667
780	130.70068359375	0.223333333333333
819	133.191121419271	0.24
858	129.944661458333	0.193333333333333
897	133.496704101562	0.263333333333333
936	135.665283203125	0.296666666666667
975	137.734578450521	0.34
1014	137.951456705729	0.32
1053	137.584838867188	0.326666666666667
1092	144.956665039062	0.43
1131	142.403767903646	0.403333333333333
1170	143.58154296875	0.426666666666667
1209	144.933064778646	0.45
1248	153.789876302083	0.593333333333333
1287	159.37255859375	0.663333333333333
1326	155.270385742188	0.626666666666667
1365	158.10546875	0.646666666666667
1404	164.749145507812	0.733333333333333
1443	166.043090820312	0.786666666666667
1482	167.930094401042	0.796666666666667
1521	165.166625976562	0.77
1560	166.423543294271	0.786666666666667
1599	169.892171223958	0.853333333333333
1638	167.438761393229	0.786666666666667
1677	165.896606445312	0.75
1716	166.125691731771	0.78
1755	168.168741861979	0.816666666666667
1794	168.146362304688	0.813333333333333
1833	168.789265950521	0.8
1872	167.102661132812	0.81
1911	167.026774088542	0.783333333333333
1950	167.710774739583	0.79
1989	169.605712890625	0.826666666666667
2028	167.209065755208	0.78
2067	161.591186523438	0.703333333333333
2106	158.833618164062	0.673333333333333
2145	163.868204752604	0.75
2184	163.420003255208	0.736666666666667
2223	162.592366536458	0.73
2262	159.111938476562	0.676666666666667
2301	154.523315429688	0.586666666666667
2340	159.943237304688	0.66
2379	150.940348307292	0.55
2418	153.395792643229	0.59
2457	148.980916341146	0.533333333333333
2496	143.198649088542	0.446666666666667
2535	149.009195963542	0.553333333333333
2574	141.302693684896	0.436666666666667
2613	138.1396484375	0.376666666666667
2652	140.616455078125	0.4
2691	142.530517578125	0.426666666666667
2730	139.607543945312	0.376666666666667
2769	136.846110026042	0.346666666666667
2808	135.988159179688	0.343333333333333
2847	133.74755859375	0.29
2886	136.190592447917	0.336666666666667
2925	139.402262369792	0.386666666666667
2964	139.718017578125	0.373333333333333
3003	141.56005859375	0.43
3042	139.110717773438	0.38
3081	136.396891276042	0.323333333333333
3120	141.483357747396	0.376666666666667
3159	143.005574544271	0.416666666666667
3198	137.439168294271	0.33
3237	137.294718424479	0.32
3276	139.7119140625	0.363333333333333
3315	152.013753255208	0.56
3354	163.252970377604	0.713333333333333
3393	159.286295572917	0.64
3432	143.047485351562	0.41
3471	146.516520182292	0.486666666666667
3510	149.886881510417	0.516666666666667
3549	145.101928710938	0.43
3588	148.189290364583	0.483333333333333
3627	159.322713216146	0.676666666666667
3666	138.493855794271	0.34
3705	145.899047851562	0.483333333333333
3744	149.912109375	0.54
3783	156.960245768229	0.63
3822	155.718180338542	0.626666666666667
3861	162.939860026042	0.693333333333333
3900	158.955281575521	0.67
