# waittime_end_set	su_S_North
# "waittime_end"	"su_S_North"
# 21
0	0.713
30	0.669
60	0.684
90	0.645
120	0.657
150	0.645
180	0.62
210	0.625
240	0.609
270	0.654
300	0.683
330	0.691
360	0.718
390	0.734
420	0.752
450	0.732
480	0.736
510	0.644
540	0.628
570	0.602
600	0.611
