# wait_q1_set	su_S_North
# "wait_q1"	"su_S_North"
# 101
0	0.123333333333333
0.6	0.121666666666667
1.2	0.165
1.8	0.195
2.4	0.178333333333333
3	0.163333333333333
3.6	0.151666666666667
4.2	0.156666666666667
4.8	0.143333333333333
5.4	0.126666666666667
6	0.116666666666667
6.6	0.11
7.2	0.0866666666666667
7.8	0.0716666666666667
8.4	0.106666666666667
9	0.113333333333333
9.6	0.141666666666667
10.2	0.171666666666667
10.8	0.245
11.4	0.33
12	0.346666666666667
12.6	0.483333333333333
13.2	0.525
13.8	0.643333333333333
14.4	0.718333333333333
15	0.751666666666667
15.6	0.806666666666667
16.2	0.856666666666667
16.8	0.901666666666667
17.4	0.926666666666667
18	0.935
18.6	0.906666666666667
19.2	0.876666666666667
19.8	0.835
20.4	0.788333333333333
21	0.721666666666667
21.6	0.605
22.2	0.538333333333333
22.8	0.495
23.4	0.433333333333333
24	0.35
24.6	0.265
25.2	0.18
25.8	0.146666666666667
26.4	0.133333333333333
27	0.116666666666667
27.6	0.085
28.2	0.0933333333333333
28.8	0.103333333333333
29.4	0.105
30	0.103333333333333
30.6	0.128333333333333
31.2	0.181666666666667
31.8	0.171666666666667
32.4	0.143333333333333
33	0.183333333333333
33.6	0.158333333333333
34.2	0.17
34.8	0.126666666666667
35.4	0.095
36	0.111666666666667
36.6	0.0916666666666667
37.2	0.0866666666666667
37.8	0.113333333333333
38.4	0.123333333333333
39	0.16
39.6	0.188333333333333
40.2	0.226666666666667
40.8	0.293333333333333
41.4	0.351666666666667
42	0.381666666666667
42.6	0.508333333333333
43.2	0.586666666666667
43.8	0.64
44.4	0.748333333333333
45	0.825
45.6	0.83
46.2	0.861666666666667
46.8	0.901666666666667
47.4	0.913333333333333
48	0.911666666666667
48.6	0.876666666666667
49.2	0.86
49.8	0.801666666666667
50.4	0.681666666666667
51	0.666666666666667
51.6	0.583333333333333
52.2	0.516666666666667
52.8	0.406666666666667
53.4	0.331666666666667
54	0.306666666666667
54.6	0.246666666666667
55.2	0.16
55.8	0.11
56.4	0.108333333333333
57	0.0816666666666667
57.6	0.065
58.2	0.0833333333333333
58.8	0.101666666666667
59.4	0.113333333333333
60	0.138333333333333
