# waittime_end_set	su_S_North
# "waittime_end"	"su_S_North"
# 21
0	0.672
30	0.69
60	0.698
90	0.683
120	0.647
150	0.677
180	0.631
210	0.653
240	0.625
270	0.649
300	0.632
330	0.635
360	0.634
390	0.656
420	0.656
450	0.666
480	0.671
510	0.654
540	0.678
570	0.669
600	0.67
