# wait_q2_set	avg_S_North	su_S_North
# "wait_q2"	"avg_S_North"	"su_S_North"
# 121
0	164.578857421875	0.575
0.25	169.483337402344	0.665
0.5	166.011962890625	0.605
0.75	171.968383789062	0.73
1	169.287414550781	0.675
1.25	173.173522949219	0.74
1.5	173.795166015625	0.765
1.75	170.403747558594	0.69
2	165.401306152344	0.605
2.25	166.545715332031	0.635
2.5	161.594848632812	0.55
2.75	157.60498046875	0.465
3	153.631286621094	0.43
3.25	147.173767089844	0.345
3.5	143.926086425781	0.285
3.75	141.245422363281	0.24
4	136.264953613281	0.155
4.25	134.142456054688	0.12
4.5	133.724365234375	0.095
4.75	131.576538085938	0.085
5	130.970458984375	0.075
5.25	135.291137695312	0.115
5.5	133.895263671875	0.125
5.75	141.641845703125	0.235
6	142.771301269531	0.26
6.25	144.277038574219	0.265
6.5	151.441345214844	0.41
6.75	154.35546875	0.44
7	159.088745117188	0.535
7.25	164.484252929688	0.605
7.5	167.662658691406	0.65
7.75	170.751037597656	0.69
8	173.829956054688	0.745
8.25	172.505187988281	0.72
8.5	168.900451660156	0.67
8.75	170.845031738281	0.71
9	169.04052734375	0.65
9.25	165.738830566406	0.605
9.5	164.718627929688	0.6
9.75	155.029602050781	0.47
10	153.604125976562	0.395
10.25	149.992065429688	0.355
10.5	150.517272949219	0.355
10.75	144.854431152344	0.245
11	138.389282226562	0.17
11.25	135.267944335938	0.14
11.5	134.535522460938	0.135
11.75	131.642150878906	0.065
12	135.00732421875	0.1
12.25	137.122192382812	0.125
12.5	140.326843261719	0.19
12.75	139.639587402344	0.17
13	141.594848632812	0.21
13.25	148.175354003906	0.305
13.5	150.647583007812	0.39
13.75	158.661193847656	0.505
14	161.298217773438	0.555
14.25	164.907531738281	0.605
14.5	167.115478515625	0.66
14.75	168.733215332031	0.685
15	173.109130859375	0.72
15.25	171.796569824219	0.71
15.5	173.892517089844	0.735
15.75	171.156311035156	0.695
16	168.702697753906	0.66
16.25	167.926940917969	0.64
16.5	164.630737304688	0.585
16.75	162.73193359375	0.535
17	154.82666015625	0.43
17.25	159.15283203125	0.49
17.5	149.520263671875	0.355
17.75	141.119079589844	0.2
18	139.1064453125	0.21
18.25	136.898803710938	0.145
18.5	134.576110839844	0.1
18.75	135.552978515625	0.11
19	134.342346191406	0.085
19.25	134.964294433594	0.085
19.5	136.53076171875	0.11
19.75	136.244812011719	0.15
20	140.443115234375	0.21
20.25	148.136596679688	0.35
20.5	148.518371582031	0.335
20.75	153.209533691406	0.41
21	164.130859375	0.59
21.25	164.407653808594	0.58
21.5	165.501403808594	0.63
21.75	169.346618652344	0.685
22	170.917663574219	0.69
22.25	173.682861328125	0.745
22.5	174.150390625	0.755
22.75	172.973022460938	0.755
23	167.639770507812	0.655
23.25	169.314575195312	0.695
23.5	161.8017578125	0.555
23.75	155.309143066406	0.46
24	151.9287109375	0.425
24.25	152.362670898438	0.42
24.5	149.302062988281	0.365
24.75	139.129333496094	0.195
25	142.423706054688	0.23
25.25	138.874816894531	0.15
25.5	134.515380859375	0.105
25.75	130.411987304688	0.06
26	133.410339355469	0.085
26.25	130.318908691406	0.08
26.5	134.158935546875	0.13
26.75	133.070983886719	0.115
27	140.617370605469	0.225
27.25	142.594909667969	0.26
27.5	147.801818847656	0.33
27.75	151.260375976562	0.4
28	163.932189941406	0.595
28.25	161.911926269531	0.58
28.5	160.586853027344	0.545
28.75	166.406860351562	0.645
29	173.130493164062	0.75
29.25	171.623840332031	0.7
29.5	172.408447265625	0.735
29.75	171.258239746094	0.735
30	168.901062011719	0.7
