# t_cz_set	su_S_North
# "t_cz"	"su_S_North"
# 49
0	0.453333333333333
20.2	0.593333333333333
40.4	0.85
60.6	0.84
80.8	0.82
101	0.626666666666667
121.2	0.386666666666667
141.4	0.27
161.6	0.236666666666667
181.8	0.266666666666667
202	0.46
222.2	0.806666666666667
242.4	0.843333333333333
262.6	0.806666666666667
282.8	0.71
303	0.45
323.2	0.36
343.4	0.293333333333333
363.6	0.35
383.8	0.346666666666667
404	0.636666666666667
424.2	0.656666666666667
444.4	0.75
464.6	0.7
484.8	0.463333333333333
505	0.33
525.2	0.38
545.4	0.456666666666667
565.6	0.463333333333333
585.8	0.48
606	0.713333333333333
626.2	0.613333333333333
646.4	0.603333333333333
666.6	0.506666666666667
686.8	0.44
707	0.463333333333333
727.2	0.48
747.4	0.506666666666667
767.6	0.656666666666667
787.8	0.573333333333333
808	0.506666666666667
828.2	0.55
848.4	0.456666666666667
868.6	0.543333333333333
888.8	0.526666666666667
909	0.52
929.2	0.576666666666667
949.4	0.56
969.6	0.546666666666667
