# waittime_set	su_S_North
# "waittime"	"su_S_North"
# 51
0	0.95
454	0.95
908	0.96
1362	0.94
1816	0.956666666666667
2270	0.943333333333333
2724	0.94
3178	0.946666666666667
3632	0.956666666666667
4086	0.893333333333333
4540	0.906666666666667
4994	0.923333333333333
5448	0.93
5902	0.9
6356	0.876666666666667
6810	0.903333333333333
7264	0.913333333333333
7718	0.88
8172	0.866666666666667
8626	0.833333333333333
9080	0.833333333333333
9534	0.816666666666667
9988	0.81
10442	0.813333333333333
10896	0.833333333333333
11350	0.8
11804	0.803333333333333
12258	0.813333333333333
12712	0.786666666666667
13166	0.77
13620	0.756666666666667
14074	0.71
14528	0.79
14982	0.773333333333333
15436	0.756666666666667
15890	0.716666666666667
16344	0.756666666666667
16798	0.72
17252	0.693333333333333
17706	0.746666666666667
18160	0.68
18614	0.703333333333333
19068	0.736666666666667
19522	0.746666666666667
19976	0.7
20430	0.773333333333333
20884	0.69
21338	0.7
21792	0.723333333333333
22246	0.72
22700	0.686666666666667
