# vP1_Q1Q4_AC_set	su_S_North
# "vP1_Q1Q4_AC"	"su_S_North"
# 17
59	0.914
58.5	0.882
58	0.892
57.5	0.896
57	0.886
56.5	0.858
56	0.766
55.5	0.702
55	0.746
54.5	0.844
54	0.874
53.5	0.882
53	0.894
52.5	0.856
52	0.902
51.5	0.894
51	0.908
