# waittime_set	su_S_North
# "waittime"	"su_S_North"
# 31
0	0.92
2	0.883333333333333
4	0.87
6	0.82
8	0.753333333333333
10	0.706666666666667
12	0.69
14	0.566666666666667
16	0.55
18	0.47
20	0.363333333333333
22	0.343333333333333
24	0.37
26	0.303333333333333
28	0.25
30	0.266666666666667
32	0.333333333333333
34	0.39
36	0.373333333333333
38	0.49
40	0.453333333333333
42	0.56
44	0.65
46	0.693333333333333
48	0.766666666666667
50	0.843333333333333
52	0.826666666666667
54	0.846666666666667
56	0.9
58	0.896666666666667
60	0.863333333333333
