# wait_q2_set	avg_S_North	su_S_North
# "wait_q2"	"avg_S_North"	"su_S_North"
# 121
0	147.555236816406	0.38
0.25	148.375244140625	0.38
0.5	144.222412109375	0.305
0.75	141.2744140625	0.28
1	134.083251953125	0.18
1.25	132.368774414062	0.16
1.5	132.32421875	0.13
1.75	131.238708496094	0.12
2	131.482238769531	0.115
2.25	128.818664550781	0.07
2.5	135.274353027344	0.155
2.75	129.23583984375	0.065
3	135.59814453125	0.155
3.25	140.936279296875	0.25
3.5	146.234436035156	0.34
3.75	146.36962890625	0.355
4	155.1611328125	0.475
4.25	156.968994140625	0.51
4.5	165.165710449219	0.635
4.75	165.837097167969	0.67
5	170.082397460938	0.76
5.25	175.663452148438	0.81
5.5	177.489929199219	0.87
5.75	180.760498046875	0.905
6	181.767272949219	0.925
6.25	176.509399414062	0.895
6.5	176.690368652344	0.86
6.75	179.393920898438	0.9
7	172.3193359375	0.815
7.25	173.251647949219	0.785
7.5	172.117919921875	0.765
7.75	168.039245605469	0.7
8	158.541564941406	0.545
8.25	148.375854492188	0.4
8.5	154.949645996094	0.5
8.75	143.367919921875	0.335
9	142.066345214844	0.26
9.25	135.126342773438	0.175
9.5	136.471862792969	0.19
9.75	132.405090332031	0.12
10	129.51171875	0.11
10.25	129.1845703125	0.065
10.5	129.674072265625	0.095
10.75	131.589660644531	0.105
11	131.112060546875	0.115
11.25	135.394897460938	0.195
11.5	136.940612792969	0.205
11.75	133.923950195312	0.19
12	138.7158203125	0.26
12.25	144.3017578125	0.35
12.5	147.092590332031	0.375
12.75	142.611999511719	0.315
13	147.439880371094	0.415
13.25	146.523132324219	0.405
13.5	142.2265625	0.315
13.75	147.790222167969	0.395
14	147.976379394531	0.39
14.25	143.205261230469	0.3
14.5	141.492004394531	0.28
14.75	135.741271972656	0.18
15	137.261657714844	0.225
15.25	132.855834960938	0.145
15.5	134.315795898438	0.15
15.75	131.004943847656	0.12
16	128.618774414062	0.085
16.25	125.912475585938	0.06
16.5	127.394409179688	0.055
16.75	131.839904785156	0.11
17	133.603210449219	0.14
17.25	138.632202148438	0.25
17.5	139.534912109375	0.265
17.75	143.412475585938	0.325
18	150.58349609375	0.445
18.25	155.388488769531	0.515
18.5	162.817687988281	0.625
18.75	160.646057128906	0.605
19	169.625854492188	0.755
19.25	167.557373046875	0.73
19.5	176.43310546875	0.845
19.75	176.692504882812	0.86
20	178.148193359375	0.875
20.25	179.783020019531	0.875
20.5	181.372985839844	0.905
20.75	175.202941894531	0.835
21	179.508666992188	0.895
21.25	172.805786132812	0.81
21.5	169.716186523438	0.75
21.75	162.605285644531	0.66
22	158.906860351562	0.595
22.25	157.745666503906	0.555
22.5	151.470642089844	0.45
22.75	145.409545898438	0.36
23	140.338439941406	0.295
23.25	135.681457519531	0.21
23.5	134.572143554688	0.18
23.75	133.278503417969	0.155
24	130.531005859375	0.115
24.25	128.358154296875	0.085
24.5	125.134887695312	0.08
24.75	125.798645019531	0.07
25	134.535827636719	0.195
25.25	132.069702148438	0.14
25.5	136.128234863281	0.19
25.75	138.487548828125	0.245
26	136.859741210938	0.22
26.25	143.568115234375	0.315
26.5	142.939758300781	0.325
26.75	145.656433105469	0.365
27	149.821166992188	0.42
27.25	144.636840820312	0.35
27.5	153.180847167969	0.49
27.75	149.1845703125	0.415
28	146.121520996094	0.36
28.25	147.82958984375	0.39
28.5	146.2841796875	0.36
28.75	137.272033691406	0.245
29	132.516174316406	0.16
29.25	131.080322265625	0.11
29.5	132.29248046875	0.135
29.75	135.357971191406	0.155
30	129.284057617188	0.085
