# wait_q1_set	su_S_North
# "wait_q1"	"su_S_North"
# 101
0	0.445
0.6	0.49
1.2	0.461666666666667
1.8	0.468333333333333
2.4	0.423333333333333
3	0.35
3.6	0.395
4.2	0.3
4.8	0.295
5.4	0.198333333333333
6	0.145
6.6	0.111666666666667
7.2	0.0733333333333333
7.8	0.0933333333333333
8.4	0.12
9	0.138333333333333
9.6	0.16
10.2	0.28
10.8	0.318333333333333
11.4	0.373333333333333
12	0.488333333333333
12.6	0.561666666666667
13.2	0.645
13.8	0.701666666666667
14.4	0.785
15	0.813333333333333
15.6	0.818333333333333
16.2	0.8
16.8	0.803333333333333
17.4	0.743333333333333
18	0.68
18.6	0.633333333333333
19.2	0.508333333333333
19.8	0.428333333333333
20.4	0.393333333333333
21	0.273333333333333
21.6	0.206666666666667
22.2	0.145
22.8	0.121666666666667
23.4	0.108333333333333
24	0.0883333333333333
24.6	0.0883333333333333
25.2	0.16
25.8	0.165
26.4	0.243333333333333
27	0.266666666666667
27.6	0.35
28.2	0.366666666666667
28.8	0.515
29.4	0.485
30	0.516666666666667
30.6	0.523333333333333
31.2	0.531666666666667
31.8	0.481666666666667
32.4	0.438333333333333
33	0.391666666666667
33.6	0.366666666666667
34.2	0.273333333333333
34.8	0.221666666666667
35.4	0.168333333333333
36	0.123333333333333
36.6	0.11
37.2	0.085
37.8	0.111666666666667
38.4	0.115
39	0.15
39.6	0.241666666666667
40.2	0.293333333333333
40.8	0.366666666666667
41.4	0.505
42	0.576666666666667
42.6	0.605
43.2	0.698333333333333
43.8	0.753333333333333
44.4	0.766666666666667
45	0.828333333333333
45.6	0.79
46.2	0.756666666666667
46.8	0.753333333333333
47.4	0.668333333333333
48	0.62
48.6	0.593333333333333
49.2	0.466666666666667
49.8	0.391666666666667
50.4	0.336666666666667
51	0.221666666666667
51.6	0.166666666666667
52.2	0.108333333333333
52.8	0.0716666666666667
53.4	0.09
54	0.0916666666666667
54.6	0.105
55.2	0.166666666666667
55.8	0.208333333333333
56.4	0.265
57	0.35
57.6	0.39
58.2	0.391666666666667
58.8	0.486666666666667
59.4	0.486666666666667
60	0.526666666666667
