# waittime_end_set	su_S_North
# "waittime_end"	"su_S_North"
# 21
0	0.673
30	0.694
60	0.682
90	0.676
120	0.674
150	0.65
180	0.633
210	0.643
240	0.612
270	0.663
300	0.661
330	0.666
360	0.679
390	0.657
420	0.667
450	0.657
480	0.658
510	0.638
540	0.655
570	0.682
600	0.682
