# wait_q1_set	su_S_North
# "wait_q1"	"su_S_North"
# 101
0	0.533333333333333
0.6	0.535
1.2	0.571666666666667
1.8	0.508333333333333
2.4	0.535
3	0.505
3.6	0.496666666666667
4.2	0.443333333333333
4.8	0.401666666666667
5.4	0.368333333333333
6	0.355
6.6	0.321666666666667
7.2	0.271666666666667
7.8	0.21
8.4	0.211666666666667
9	0.171666666666667
9.6	0.161666666666667
10.2	0.136666666666667
10.8	0.106666666666667
11.4	0.0933333333333333
12	0.111666666666667
12.6	0.0816666666666667
13.2	0.108333333333333
13.8	0.105
14.4	0.09
15	0.085
15.6	0.1
16.2	0.105
16.8	0.0866666666666667
17.4	0.0933333333333333
18	0.115
18.6	0.0916666666666667
19.2	0.111666666666667
19.8	0.085
20.4	0.136666666666667
21	0.168333333333333
21.6	0.171666666666667
22.2	0.225
22.8	0.213333333333333
23.4	0.26
24	0.283333333333333
24.6	0.321666666666667
25.2	0.375
25.8	0.4
26.4	0.481666666666667
27	0.516666666666667
27.6	0.463333333333333
28.2	0.613333333333333
28.8	0.603333333333333
29.4	0.633333333333333
30	0.581666666666667
30.6	0.58
31.2	0.57
31.8	0.565
32.4	0.598333333333333
33	0.536666666666667
33.6	0.465
34.2	0.461666666666667
34.8	0.383333333333333
35.4	0.41
36	0.308333333333333
36.6	0.338333333333333
37.2	0.255
37.8	0.183333333333333
38.4	0.171666666666667
39	0.168333333333333
39.6	0.133333333333333
40.2	0.126666666666667
40.8	0.115
41.4	0.0916666666666667
42	0.106666666666667
42.6	0.115
43.2	0.0983333333333333
43.8	0.0866666666666667
44.4	0.0933333333333333
45	0.118333333333333
45.6	0.126666666666667
46.2	0.138333333333333
46.8	0.111666666666667
47.4	0.121666666666667
48	0.125
48.6	0.09
49.2	0.103333333333333
49.8	0.0966666666666667
50.4	0.115
51	0.173333333333333
51.6	0.138333333333333
52.2	0.22
52.8	0.218333333333333
53.4	0.273333333333333
54	0.35
54.6	0.353333333333333
55.2	0.396666666666667
55.8	0.448333333333333
56.4	0.481666666666667
57	0.481666666666667
57.6	0.545
58.2	0.593333333333333
58.8	0.548333333333333
59.4	0.563333333333333
60	0.608333333333333
