# wait_q2_set	avg_S_North	su_S_North
# "wait_q2"	"avg_S_North"	"su_S_North"
# 121
0	146.745910644531	0.365
0.25	143.27392578125	0.285
0.5	137.713928222656	0.235
0.75	137.330017089844	0.23
1	135.484008789062	0.185
1.25	130.3662109375	0.11
1.5	130.505981445312	0.1
1.75	130.187072753906	0.11
2	129.596557617188	0.09
2.25	130.837097167969	0.11
2.5	129.305419921875	0.11
2.75	133.8818359375	0.19
3	140.311889648438	0.29
3.25	143.724365234375	0.345
3.5	152.52685546875	0.485
3.75	153.164367675781	0.48
4	163.585205078125	0.62
4.25	166.169738769531	0.695
4.5	167.798767089844	0.71
4.75	176.3720703125	0.835
5	181.119995117188	0.91
5.25	180.9765625	0.925
5.5	178.406677246094	0.89
5.75	178.450622558594	0.88
6	176.686401367188	0.83
6.25	178.30322265625	0.85
6.5	171.6064453125	0.75
6.75	172.761535644531	0.755
7	165.311584472656	0.67
7.25	165.221557617188	0.65
7.5	151.666564941406	0.455
7.75	148.069152832031	0.395
8	148.43017578125	0.375
8.25	139.512634277344	0.22
8.5	134.085693359375	0.18
8.75	131.068725585938	0.12
9	129.624328613281	0.075
9.25	133.663024902344	0.11
9.5	129.613037109375	0.09
9.75	129.871520996094	0.075
10	132.127075195312	0.125
10.25	135.95458984375	0.175
10.5	139.544372558594	0.235
10.75	143.18603515625	0.27
11	148.560791015625	0.345
11.25	145.4638671875	0.32
11.5	151.1572265625	0.395
11.75	152.919311523438	0.435
12	162.5634765625	0.585
12.25	159.460144042969	0.535
12.5	162.844848632812	0.58
12.75	161.271667480469	0.565
13	158.155212402344	0.505
13.25	156.365661621094	0.49
13.5	153.365173339844	0.425
13.75	150.729675292969	0.405
14	147.34130859375	0.365
14.25	146.036987304688	0.325
14.5	144.0380859375	0.29
14.75	137.098999023438	0.18
15	134.638366699219	0.135
15.25	134.512329101562	0.145
15.5	130.638427734375	0.07
15.75	130.892333984375	0.09
16	129.236755371094	0.07
16.25	129.133911132812	0.09
16.5	134.74609375	0.175
16.75	138.402709960938	0.225
17	141.913146972656	0.3
17.25	147.247009277344	0.365
17.5	151.739501953125	0.445
17.75	154.816589355469	0.5
18	162.316589355469	0.59
18.25	162.799072265625	0.63
18.5	167.866516113281	0.725
18.75	173.438110351562	0.79
19	177.7783203125	0.86
19.25	179.736328125	0.875
19.5	179.806823730469	0.88
19.75	180.220947265625	0.885
20	182.514343261719	0.895
20.25	176.798400878906	0.84
20.5	176.302490234375	0.805
20.75	171.432800292969	0.73
21	167.121887207031	0.67
21.25	166.419982910156	0.675
21.5	159.962463378906	0.56
21.75	152.649536132812	0.435
22	147.91259765625	0.375
22.25	144.47509765625	0.32
22.5	142.049865722656	0.255
22.75	137.424926757812	0.205
23	133.920593261719	0.13
23.25	130.877380371094	0.075
23.5	129.942932128906	0.095
23.75	130.791625976562	0.125
24	132.041625976562	0.11
24.25	138.475646972656	0.23
24.5	136.71142578125	0.17
24.75	141.725463867188	0.25
25	147.7392578125	0.325
25.25	144.710083007812	0.305
25.5	150.14404296875	0.395
25.75	157.049865722656	0.51
26	149.697570800781	0.395
26.25	154.196166992188	0.455
26.5	161.40869140625	0.575
26.75	156.054992675781	0.515
27	154.501342773438	0.475
27.25	157.748413085938	0.515
27.5	159.259033203125	0.5
27.75	154.032592773438	0.41
28	152.838439941406	0.415
28.25	145.075378417969	0.31
28.5	141.475830078125	0.25
28.75	143.150939941406	0.255
29	137.820739746094	0.16
29.25	134.822387695312	0.12
29.5	132.215576171875	0.085
29.75	130.131225585938	0.06
30	132.152099609375	0.1
