# waittime_set	su00	su01	su10	su11	su_trig0	su_trig1
# "waittime"	"su00"	"su01"	"su10"	"su11"	"su_trig0"	"su_trig1"
# 51
0	0.1025	0.0525	0.725	0.12	0.845	0.1725
3600	0.1	0.0375	0.73	0.1325	0.8625	0.17
7200	0.1425	0.04	0.6825	0.135	0.8175	0.175
10800	0.1725	0.07	0.645	0.1125	0.7575	0.1825
14400	0.205	0.035	0.64	0.12	0.76	0.155
18000	0.2025	0.045	0.6325	0.12	0.7525	0.165
21600	0.21	0.045	0.6325	0.1125	0.745	0.1575
25200	0.2125	0.0575	0.625	0.105	0.73	0.1625
28800	0.2475	0.06	0.565	0.1275	0.6925	0.1875
32400	0.2175	0.04	0.5925	0.15	0.7425	0.19
36000	0.2375	0.0675	0.58	0.115	0.695	0.1825
39600	0.2225	0.0625	0.575	0.14	0.715	0.2025
43200	0.25	0.0525	0.565	0.1325	0.6975	0.185
46800	0.2725	0.045	0.58	0.1025	0.6825	0.1475
50400	0.2825	0.055	0.5325	0.13	0.6625	0.185
54000	0.275	0.0975	0.54	0.0875	0.6275	0.185
57600	0.3125	0.055	0.525	0.1075	0.6325	0.1625
61200	0.2825	0.0625	0.5575	0.0975	0.655	0.16
64800	0.32	0.08	0.495	0.105	0.6	0.185
68400	0.375	0.0775	0.46	0.0875	0.5475	0.165
72000	0.36	0.0675	0.4675	0.105	0.5725	0.1725
75600	0.3575	0.0675	0.47	0.105	0.575	0.1725
79200	0.3725	0.055	0.4925	0.08	0.5725	0.135
82800	0.39	0.0675	0.4775	0.065	0.5425	0.1325
86400	0.395	0.05	0.475	0.08	0.555	0.13
90000	0.42	0.07	0.41	0.1	0.51	0.17
93600	0.4325	0.0675	0.4225	0.0775	0.5	0.145
97200	0.355	0.0725	0.4875	0.085	0.5725	0.1575
100800	0.425	0.09	0.4175	0.0675	0.485	0.1575
104400	0.4325	0.0775	0.41	0.08	0.49	0.1575
108000	0.415	0.0875	0.4075	0.09	0.4975	0.1775
111600	0.4425	0.085	0.3875	0.085	0.4725	0.17
115200	0.38	0.0775	0.4525	0.09	0.5425	0.1675
118800	0.4375	0.06	0.4225	0.08	0.5025	0.14
122400	0.4425	0.065	0.405	0.0875	0.4925	0.1525
126000	0.5025	0.06	0.3675	0.07	0.4375	0.13
129600	0.3975	0.0875	0.43	0.085	0.515	0.1725
133200	0.435	0.07	0.415	0.08	0.495	0.15
136800	0.4425	0.07	0.405	0.0825	0.4875	0.1525
140400	0.4275	0.0875	0.4275	0.0575	0.485	0.145
144000	0.4675	0.0675	0.3875	0.0775	0.465	0.145
147600	0.435	0.0725	0.415	0.0775	0.4925	0.15
151200	0.39	0.0625	0.4475	0.1	0.5475	0.1625
154800	0.4075	0.0775	0.425	0.09	0.515	0.1675
158400	0.48	0.06	0.38	0.08	0.46	0.14
162000	0.42	0.0725	0.4375	0.07	0.5075	0.1425
165600	0.4375	0.085	0.3825	0.095	0.4775	0.18
169200	0.415	0.08	0.4375	0.0675	0.505	0.1475
172800	0.4575	0.0625	0.4275	0.0525	0.48	0.115
176400	0.415	0.0675	0.43	0.0875	0.5175	0.155
180000	0.4325	0.06	0.44	0.0675	0.5075	0.1275
