# waittime_set	su00	su01	su10	su11	su_trig0	su_trig1
# "waittime"	"su00"	"su01"	"su10"	"su11"	"su_trig0"	"su_trig1"
# 51
0	0.14	0.0475	0.715	0.0975	0.8125	0.145
100	0.11875	0.045	0.72	0.11625	0.83625	0.16125
200	0.12875	0.0625	0.6675	0.14125	0.80875	0.20375
300	0.14625	0.05375	0.65	0.15	0.8	0.20375
400	0.1275	0.04375	0.6625	0.16625	0.82875	0.21
500	0.13125	0.055	0.65625	0.1575	0.81375	0.2125
600	0.115	0.0575	0.675	0.1525	0.8275	0.21
700	0.1225	0.05875	0.6775	0.14125	0.81875	0.2
800	0.115	0.05375	0.685	0.14625	0.83125	0.2
900	0.14	0.05375	0.65875	0.1475	0.80625	0.20125
1000	0.11625	0.0625	0.67625	0.145	0.82125	0.2075
1100	0.135	0.05375	0.655	0.15625	0.81125	0.21
1200	0.15	0.06125	0.6375	0.15125	0.78875	0.2125
1300	0.12375	0.08625	0.5475	0.2425	0.79	0.32875
1400	0.1475	0.0675	0.66875	0.11625	0.785	0.18375
1500	0.1475	0.06625	0.63	0.15625	0.78625	0.2225
1600	0.1775	0.05	0.6375	0.135	0.7725	0.185
1700	0.1625	0.0975	0.57125	0.16875	0.74	0.26625
1800	0.22375	0.05375	0.58	0.1425	0.7225	0.19625
1900	0.1825	0.055	0.61375	0.14875	0.7625	0.20375
2000	0.21375	0.05375	0.58125	0.15125	0.7325	0.205
2100	0.20375	0.075	0.48625	0.235	0.72125	0.31
2200	0.2025	0.07625	0.58375	0.1375	0.72125	0.21375
2300	0.1875	0.08	0.58875	0.14375	0.7325	0.22375
2400	0.2075	0.0725	0.5825	0.1375	0.72	0.21
2500	0.21875	0.11625	0.51125	0.15375	0.665	0.27
2600	0.2125	0.04875	0.58125	0.1575	0.73875	0.20625
2700	0.27125	0.05375	0.53125	0.14375	0.675	0.1975
2800	0.26375	0.0675	0.53375	0.135	0.66875	0.2025
2900	0.26625	0.09625	0.4575	0.18	0.6375	0.27625
3000	0.29	0.08	0.5	0.13	0.63	0.21
3100	0.29	0.055	0.4875	0.1675	0.655	0.2225
3200	0.25875	0.08125	0.47375	0.18625	0.66	0.2675
3300	0.315	0.07	0.44875	0.16625	0.615	0.23625
3400	0.3125	0.08625	0.45875	0.1425	0.60125	0.22875
3500	0.3275	0.07125	0.42875	0.1725	0.60125	0.24375
3600	0.36625	0.08625	0.41375	0.13375	0.5475	0.22
3700	0.345	0.055	0.46375	0.13625	0.6	0.19125
3800	0.31875	0.05625	0.4825	0.1425	0.625	0.19875
3900	0.3025	0.0575	0.52125	0.11875	0.64	0.17625
4000	0.29625	0.0575	0.5275	0.11875	0.64625	0.17625
4100	0.28125	0.0275	0.5975	0.09375	0.69125	0.12125
4200	0.26125	0.02	0.6575	0.06125	0.71875	0.08125
4300	0.24125	0.01	0.70625	0.0425	0.74875	0.0525
4400	0.25625	0.005	0.70625	0.0325	0.73875	0.0375
4500	0.225	0.015	0.735	0.025	0.76	0.04
4600	0.17875	0.01	0.8	0.01125	0.81125	0.02125
4700	0.1625	0.00125	0.82875	0.0075	0.83625	0.00875
4800	0.13125	0.00375	0.86	0.005	0.865	0.00875
4900	0.1	0	0.89625	0.00375	0.9	0.00375
5000	0.0612499999999999	0	0.935	0.00375	0.93875	0.00375
