# wait_q2_set	avg_S_North	su_S_North
# "wait_q2"	"avg_S_North"	"su_S_North"
# 121
0	132.55615234375	0.15
0.25	133.094482421875	0.14
0.5	131.294555664062	0.145
0.75	133.286743164062	0.13
1	132.335205078125	0.14
1.25	129.523315429688	0.1
1.5	126.991577148438	0.07
1.75	128.15673828125	0.06
2	131.788635253906	0.13
2.25	130.618591308594	0.11
2.5	128.402709960938	0.09
2.75	127.835693359375	0.085
3	130.346374511719	0.115
3.25	128.552551269531	0.09
3.5	129.163818359375	0.08
3.75	128.832702636719	0.06
4	129.65087890625	0.1
4.25	129.404296875	0.11
4.5	130.351867675781	0.105
4.75	131.661987304688	0.11
5	136.702270507812	0.18
5.25	137.621765136719	0.185
5.5	139.346008300781	0.23
5.75	142.513732910156	0.26
6	146.143798828125	0.34
6.25	146.087646484375	0.35
6.5	150.557250976562	0.4
6.75	150.839233398438	0.435
7	152.867736816406	0.46
7.25	154.118041992188	0.48
7.5	159.072265625	0.56
7.75	161.115417480469	0.585
8	160.805053710938	0.585
8.25	163.872375488281	0.625
8.5	163.86474609375	0.615
8.75	164.37744140625	0.635
9	164.683227539062	0.645
9.25	161.001281738281	0.575
9.5	156.098022460938	0.495
9.75	161.036376953125	0.57
10	159.346618652344	0.55
10.25	153.112487792969	0.46
10.5	151.990356445312	0.41
10.75	151.168823242188	0.4
11	149.1748046875	0.37
11.25	146.6552734375	0.325
11.5	143.543090820312	0.27
11.75	143.59375	0.255
12	139.590148925781	0.205
12.25	138.998107910156	0.195
12.5	136.598510742188	0.195
12.75	133.447875976562	0.11
13	135.697631835938	0.12
13.25	132.308349609375	0.08
13.5	132.680969238281	0.125
13.75	129.744262695312	0.085
14	131.200866699219	0.06
14.25	132.632751464844	0.105
14.5	132.325134277344	0.11
14.75	131.410522460938	0.08
15	133.243713378906	0.12
15.25	129.605712890625	0.085
15.5	130.415954589844	0.09
15.75	130.496826171875	0.075
16	133.90625	0.11
16.25	133.761291503906	0.075
16.5	131.977844238281	0.105
16.75	132.560424804688	0.115
17	134.006958007812	0.12
17.25	129.022827148438	0.075
17.5	130.849914550781	0.075
17.75	131.246032714844	0.1
18	129.977416992188	0.085
18.25	132.835388183594	0.095
18.5	132.762756347656	0.09
18.75	132.539978027344	0.11
19	134.429626464844	0.13
19.25	139.596252441406	0.23
19.5	135.9814453125	0.19
19.75	138.070678710938	0.2
20	141.936950683594	0.27
20.25	147.644653320312	0.355
20.5	153.191223144531	0.41
20.75	153.149108886719	0.43
21	151.086120605469	0.43
21.25	156.206665039062	0.49
21.5	159.609069824219	0.535
21.75	164.070129394531	0.59
22	159.593505859375	0.545
22.25	160.718078613281	0.575
22.5	169.4482421875	0.685
22.75	155.782165527344	0.485
23	168.919677734375	0.66
23.25	158.931884765625	0.54
23.5	157.458190917969	0.535
23.75	163.805541992188	0.61
24	155.960998535156	0.495
24.25	155.340576171875	0.475
24.5	151.550598144531	0.435
24.75	146.910095214844	0.385
25	146.392211914062	0.35
25.25	144.443054199219	0.33
25.5	138.822937011719	0.225
25.75	141.129150390625	0.235
26	136.064758300781	0.165
26.25	135.876770019531	0.17
26.5	133.922119140625	0.15
26.75	128.052062988281	0.065
27	129.840698242188	0.1
27.25	130.569152832031	0.105
27.5	130.173645019531	0.085
27.75	127.939147949219	0.05
28	128.522338867188	0.055
28.25	127.65869140625	0.065
28.5	129.327392578125	0.095
28.75	132.990417480469	0.14
29	133.168334960938	0.12
29.25	133.931579589844	0.155
29.5	133.021240234375	0.1
29.75	132.890014648438	0.12
30	134.805908203125	0.13
