# wait_q2_set	avg_S_North	su_S_North
# "wait_q2"	"avg_S_North"	"su_S_North"
# 121
0	134.269409179688	0.135
0.25	132.731018066406	0.11
0.5	134.296569824219	0.155
0.75	135.55908203125	0.14
1	138.052978515625	0.16
1.25	138.715515136719	0.18
1.5	136.2646484375	0.15
1.75	135.003967285156	0.145
2	134.031372070312	0.115
2.25	134.703674316406	0.13
2.5	132.764587402344	0.11
2.75	133.341674804688	0.11
3	131.343994140625	0.065
3.25	130.77392578125	0.08
3.5	133.446655273438	0.08
3.75	133.106994628906	0.1
4	134.349670410156	0.12
4.25	133.28369140625	0.115
4.5	135.748901367188	0.13
4.75	142.665405273438	0.25
5	141.363220214844	0.23
5.25	144.412231445312	0.315
5.5	143.627319335938	0.28
5.75	152.950439453125	0.425
6	157.111206054688	0.505
6.25	158.539428710938	0.525
6.5	162.991943359375	0.6
6.75	165.561218261719	0.62
7	170.58349609375	0.7
7.25	172.178039550781	0.74
7.5	174.224243164062	0.75
7.75	173.546752929688	0.755
8	173.267517089844	0.74
8.25	173.857421875	0.745
8.5	171.654968261719	0.72
8.75	173.415832519531	0.765
9	172.810668945312	0.755
9.25	168.3251953125	0.64
9.5	168.106689453125	0.64
9.75	162.960205078125	0.58
10	155.155029296875	0.455
10.25	158.620300292969	0.515
10.5	148.260803222656	0.395
10.75	144.426574707031	0.34
11	141.324157714844	0.27
11.25	137.83447265625	0.215
11.5	138.021240234375	0.21
11.75	134.900207519531	0.125
12	132.430114746094	0.11
12.25	131.374206542969	0.085
12.5	131.949157714844	0.11
12.75	130.103149414062	0.065
13	131.009521484375	0.07
13.25	130.833129882812	0.09
13.5	132.779846191406	0.11
13.75	132.196960449219	0.1
14	129.08447265625	0.085
14.25	131.250610351562	0.12
14.5	131.754150390625	0.15
14.75	131.940307617188	0.14
15	134.434509277344	0.16
15.25	132.183227539062	0.14
15.5	129.602661132812	0.1
15.75	129.601440429688	0.11
16	130.776977539062	0.135
16.25	131.666259765625	0.13
16.5	129.018249511719	0.08
16.75	127.046813964844	0.065
17	130.452880859375	0.1
17.25	130.062255859375	0.1
17.5	129.858093261719	0.095
17.75	129.758911132812	0.08
18	132.095031738281	0.13
18.25	130.362548828125	0.09
18.5	134.553833007812	0.17
18.75	134.889831542969	0.175
19	138.670349121094	0.21
19.25	144.609680175781	0.29
19.5	140.704956054688	0.305
19.75	147.627258300781	0.395
20	149.850158691406	0.435
20.25	151.352233886719	0.47
20.5	152.543334960938	0.49
20.75	160.699768066406	0.59
21	164.998168945312	0.67
21.25	163.507690429688	0.64
21.5	166.312561035156	0.69
21.75	167.812194824219	0.735
22	169.219665527344	0.76
22.25	168.994750976562	0.73
22.5	170.387573242188	0.76
22.75	171.049499511719	0.765
23	168.426513671875	0.7
23.25	166.513366699219	0.69
23.5	163.127746582031	0.65
23.75	156.38427734375	0.51
24	155.154113769531	0.52
24.25	153.473510742188	0.47
24.5	148.181457519531	0.38
24.75	144.726867675781	0.325
25	145.740051269531	0.345
25.25	137.225036621094	0.21
25.5	134.874572753906	0.19
25.75	131.967163085938	0.15
26	131.51611328125	0.14
26.25	127.47802734375	0.095
26.5	128.968200683594	0.095
26.75	127.741088867188	0.075
27	129.35791015625	0.095
27.25	129.516906738281	0.095
27.5	129.749450683594	0.105
27.75	128.837280273438	0.085
28	132.271728515625	0.115
28.25	132.084350585938	0.13
28.5	132.550659179688	0.15
28.75	130.042114257812	0.105
29	134.377746582031	0.17
29.25	134.625244140625	0.185
29.5	134.4921875	0.19
29.75	131.871948242188	0.13
30	132.424926757812	0.105
