# wait_q2_set	avg_S_North	su_S_North
# "wait_q2"	"avg_S_North"	"su_S_North"
# 121
0	128.776550292969	0.095
0.25	126.646118164062	0.07
0.5	131.681518554688	0.13
0.75	128.322448730469	0.08
1	132.861938476562	0.155
1.25	129.028625488281	0.11
1.5	129.688415527344	0.12
1.75	132.606811523438	0.155
2	138.098754882812	0.23
2.25	145.755004882812	0.315
2.5	143.003234863281	0.29
2.75	144.797973632812	0.34
3	142.34130859375	0.3
3.25	145.694580078125	0.365
3.5	145.415954589844	0.35
3.75	148.344116210938	0.365
4	151.256713867188	0.42
4.25	152.501831054688	0.475
4.5	156.653137207031	0.485
4.75	153.476867675781	0.485
5	152.300415039062	0.43
5.25	149.471435546875	0.395
5.5	146.161499023438	0.315
5.75	150.573120117188	0.395
6	147.086486816406	0.355
6.25	148.008422851562	0.365
6.5	145.023498535156	0.315
6.75	141.378479003906	0.25
7	138.550720214844	0.23
7.25	138.310241699219	0.225
7.5	140.572814941406	0.245
7.75	133.772888183594	0.165
8	132.143859863281	0.11
8.25	133.67431640625	0.12
8.5	132.059020996094	0.115
8.75	127.700500488281	0.045
9	129.276428222656	0.085
9.25	128.174438476562	0.08
9.5	129.344787597656	0.07
9.75	127.663269042969	0.06
10	128.516235351562	0.075
10.25	130.508422851562	0.115
10.5	133.428955078125	0.155
10.75	132.930908203125	0.135
11	132.401123046875	0.11
11.25	132.616577148438	0.14
11.5	134.183349609375	0.155
11.75	131.267395019531	0.125
12	130.931701660156	0.135
12.25	129.353942871094	0.125
12.5	129.956665039062	0.11
12.75	129.28955078125	0.135
13	126.513977050781	0.08
13.25	128.457946777344	0.1
13.5	130.802001953125	0.105
13.75	130.670166015625	0.115
14	129.680786132812	0.105
14.25	127.937622070312	0.105
14.5	127.610778808594	0.075
14.75	127.834167480469	0.065
15	125.864562988281	0.06
15.25	130.196533203125	0.12
15.5	129.236755371094	0.115
15.75	133.256530761719	0.16
16	135.11474609375	0.2
16.25	135.494689941406	0.19
16.5	143.567810058594	0.32
16.75	139.912719726562	0.26
17	141.941833496094	0.315
17.25	145.735473632812	0.34
17.5	147.6611328125	0.385
17.75	148.772888183594	0.37
18	146.987609863281	0.37
18.25	152.466430664062	0.42
18.5	154.492492675781	0.43
18.75	155.029907226562	0.45
19	149.825134277344	0.385
19.25	151.627197265625	0.42
19.5	150.348205566406	0.43
19.75	150.451354980469	0.405
20	149.996643066406	0.4
20.25	150.127563476562	0.39
20.5	141.243286132812	0.28
20.75	142.784118652344	0.275
21	143.347778320312	0.29
21.25	139.778442382812	0.25
21.5	133.631591796875	0.145
21.75	132.843627929688	0.14
22	132.294006347656	0.12
22.25	132.510375976562	0.15
22.5	133.046569824219	0.13
22.75	132.463684082031	0.11
23	131.37451171875	0.12
23.25	126.130676269531	0.03
23.5	128.612976074219	0.06
23.75	128.291625976562	0.07
24	128.944091796875	0.08
24.25	130.954895019531	0.13
24.5	132.01416015625	0.115
24.75	130.498046875	0.115
25	130.847473144531	0.105
25.25	133.701782226562	0.145
25.5	131.62353515625	0.13
25.75	132.648315429688	0.125
26	130.931091308594	0.12
26.25	133.819580078125	0.13
26.5	134.820251464844	0.17
26.75	133.863830566406	0.155
27	132.300109863281	0.13
27.25	132.188720703125	0.115
27.5	130.502014160156	0.095
27.75	133.047180175781	0.11
28	133.360900878906	0.1
28.25	132.228393554688	0.12
28.5	130.828857421875	0.065
28.75	130.237121582031	0.085
29	129.100952148438	0.07
29.25	131.275634765625	0.1
29.5	133.288269042969	0.125
29.75	133.715209960938	0.125
30	135.663146972656	0.175
